trial_id,trial_mode,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_count,condition_id,scenario_file,completed_target_count,all_targets_visited,final_target_completion_time_s,final_target_completion_sim_time_s,duplicate_target_visits,target_conflicts,task_cell_revisits_total,total_team_steps,max_robot_steps,unique_cells_visited,system_revisits,task_cell_replans_total,path_replans_total,collision_prevention_events,blocked_task_quarantines_total,blocked_task_quarantine_time_s_total,maximum_quarantine_level,events_processed,stall_recoveries_total,messages_sent_total,messages_delivered_total,messages_dropped_total,protected_messages_sent_total,unprotected_messages_sent_total,core_messages_sent_total,allocation_messages_sent_total,message_drop_fraction,messages_per_completed_target,allocation_messages_per_completed_target,messages_sent_by_topic,workload_gini_targets_found,workload_gini_unique_cells_contributed,allocator_calls_total,allocator_time_ms_team_total,allocator_time_ms_team_max,allocator_solve_time_ms_team_total,allocator_solve_time_ms_team_max,candidate_filter_calls_total,candidate_filter_time_ms_team_total,candidate_filter_time_ms_team_max,trial_status
0,known_visit,HIPC,bernoulli,drop_0.25,19,361,4,20,targets_20_hipc_h1_bernoulli_025,C:\Users\lottj\Desktop\research\decentralized benchmark\commitment-horizon-study\scenarios\known_visit_g19_t20_n25.csv,20,True,45.562281007761904,45.562281007761904,1,1,1,105,27,106,3,4,2,2,0,0.0,0,240,0,251,646,106,107,144,216,35,0.2459396751740139,12.55,1.75,collision_intent:107;hipc_entry:35;state:109,0.19999999999999996,0.028301886792452935,66,54.6711,5.3765,35.4321,1.9031,66,19.239,4.9361,completed
1,known_visit,HIPC,bernoulli,drop_0.25,19,361,4,20,targets_20_hipc_h1_bernoulli_025,C:\Users\lottj\Desktop\research\decentralized benchmark\commitment-horizon-study\scenarios\known_visit_g19_t20_n25.csv,20,True,88.5430667912881,88.5430667912881,16,16,16,201,51,150,55,4,4,3,1,5.0,1,460,0,447,1152,186,206,241,411,36,0.25833333333333336,22.35,1.8,collision_intent:206;hipc_clear_bundle:1;hipc_entry:35;state:205,0.2250000000000001,0.09666666666666668,66,47.3046,2.0462,31.9965,1.6967,66,15.3081,0.4251,completed
2,known_visit,HIPC,bernoulli,drop_0.25,19,361,4,20,targets_20_hipc_h1_bernoulli_025,C:\Users\lottj\Desktop\research\decentralized benchmark\commitment-horizon-study\scenarios\known_visit_g19_t20_n25.csv,20,True,52.401730374132924,52.401730374132924,3,3,3,119,30,117,6,4,2,2,0,0.0,0,278,0,278,726,105,123,155,246,32,0.22727272727272727,13.9,1.6,collision_intent:123;hipc_clear_bundle:1;hipc_entry:31;state:123,0.25,0.019230769230769162,62,55.2518,2.3606,39.2109,1.9583,62,16.0409,0.4073,completed
3,known_visit,HIPC,bernoulli,drop_0.25,19,361,4,20,targets_20_hipc_h1_bernoulli_025,C:\Users\lottj\Desktop\research\decentralized benchmark\commitment-horizon-study\scenarios\known_visit_g19_t20_n25.csv,20,True,52.07559753819687,52.07559753819687,6,6,6,118,30,110,12,3,2,2,0,0.0,0,272,0,279,727,109,121,158,243,36,0.23044397463002114,13.95,1.8,collision_intent:121;hipc_clear_bundle:3;hipc_entry:33;state:122,0.17500000000000004,0.07727272727272738,66,52.5433,1.8614,36.9187,1.4704,66,15.6246,0.4222,completed
4,known_visit,HIPC,bernoulli,drop_0.25,19,361,4,20,targets_20_hipc_h1_bernoulli_025,C:\Users\lottj\Desktop\research\decentralized benchmark\commitment-horizon-study\scenarios\known_visit_g19_t20_n25.csv,20,True,47.26891047462932,47.26891047462932,2,2,2,107,27,106,5,3,3,2,1,5.0,1,254,0,249,634,111,110,139,221,28,0.2674698795180723,12.45,1.4,collision_intent:110;hipc_clear_bundle:1;hipc_entry:27;state:111,0.07499999999999996,0.028301886792452935,58,49.4194,2.0547,35.207,1.6731,58,14.2124,0.4243,completed
5,known_visit,HIPC,bernoulli,drop_0.25,19,361,4,20,targets_20_hipc_h1_bernoulli_025,C:\Users\lottj\Desktop\research\decentralized benchmark\commitment-horizon-study\scenarios\known_visit_g19_t20_n25.csv,20,True,49.49421654347747,49.49421654347747,3,3,3,113,29,110,7,4,0,0,0,0.0,0,266,0,269,696,109,114,155,231,38,0.23542116630669546,13.45,1.9,collision_intent:114;hipc_clear_bundle:4;hipc_entry:34;state:117,0.3999999999999999,0.045454545454545414,68,49.8104,1.5894,35.1452,1.3109,68,14.6652,0.3882,completed
6,known_visit,HIPC,bernoulli,drop_0.25,19,361,4,20,targets_20_hipc_h1_bernoulli_025,C:\Users\lottj\Desktop\research\decentralized benchmark\commitment-horizon-study\scenarios\known_visit_g19_t20_n25.csv,20,True,46.2482508011237,46.2482508011237,2,2,2,106,27,105,5,1,1,1,0,0.0,0,242,0,250,626,121,108,142,218,32,0.2860520094562648,12.5,1.6,collision_intent:108;hipc_clear_bundle:2;hipc_entry:30;state:110,0.125,0.03571428571428581,63,54.9216,1.6489,39.6344,1.3613,63,15.2872,0.3702,completed
7,known_visit,HIPC,bernoulli,drop_0.25,19,361,4,20,targets_20_hipc_h1_bernoulli_025,C:\Users\lottj\Desktop\research\decentralized benchmark\commitment-horizon-study\scenarios\known_visit_g19_t20_n25.csv,20,True,66.95699874795471,66.95699874795471,6,6,6,133,39,120,17,1,0,0,0,0.0,0,372,0,307,800,119,137,170,274,33,0.234251968503937,15.35,1.65,collision_intent:137;hipc_clear_bundle:4;hipc_entry:29;state:137,0.30000000000000004,0.1958333333333333,132,102.5018,1.7679,73.7993,1.3969,132,28.7025,0.372,completed
8,known_visit,HIPC,bernoulli,drop_0.25,19,361,4,20,targets_20_hipc_h1_bernoulli_025,C:\Users\lottj\Desktop\research\decentralized benchmark\commitment-horizon-study\scenarios\known_visit_g19_t20_n25.csv,20,True,45.77879269028411,45.77879269028411,5,5,5,102,27,96,10,0,1,1,0,0.0,0,241,0,247,625,115,105,142,211,36,0.27058823529411763,12.35,1.8,collision_intent:105;hipc_clear_bundle:2;hipc_entry:34;state:106,0.1499999999999999,0.05729166666666674,65,60.628,2.8612,43.0027,2.4089,65,17.6253,0.5507,completed
9,known_visit,HIPC,bernoulli,drop_0.25,19,361,4,20,targets_20_hipc_h1_bernoulli_025,C:\Users\lottj\Desktop\research\decentralized benchmark\commitment-horizon-study\scenarios\known_visit_g19_t20_n25.csv,20,True,71.12248831034448,71.12248831034448,9,9,9,161,41,143,22,6,4,2,1,5.0,1,369,0,371,963,148,165,206,330,41,0.24025974025974026,18.55,2.05,collision_intent:165;hipc_clear_bundle:1;hipc_entry:40;state:165,0.32499999999999996,0.07867132867132876,76,51.212,2.5488,34.298,2.1257,76,16.914,0.441,completed
10,known_visit,HIPC,bernoulli,drop_0.25,19,361,4,20,targets_20_hipc_h1_bernoulli_025,C:\Users\lottj\Desktop\research\decentralized benchmark\commitment-horizon-study\scenarios\known_visit_g19_t20_n25.csv,20,True,46.34719151715185,46.34719151715185,3,3,3,106,27,106,4,3,0,0,0,0.0,0,241,0,244,623,107,106,138,216,28,0.25970873786407767,12.2,1.4,collision_intent:106;hipc_clear_bundle:1;hipc_entry:27;state:110,0.2749999999999999,0.037735849056603765,63,56.951,2.0091,40.3212,1.6704,63,16.6298,0.3888,completed
11,known_visit,HIPC,bernoulli,drop_0.25,19,361,4,20,targets_20_hipc_h1_bernoulli_025,C:\Users\lottj\Desktop\research\decentralized benchmark\commitment-horizon-study\scenarios\known_visit_g19_t20_n25.csv,20,True,48.67305101183348,48.67305101183348,4,4,4,109,28,105,8,2,0,0,0,0.0,0,258,0,254,655,105,111,143,224,30,0.2459016393442623,12.7,1.5,collision_intent:111;hipc_clear_bundle:1;hipc_entry:29;state:113,0.32499999999999996,0.059523809523809534,56,44.1637,2.0057,31.2902,1.6218,56,12.8735,0.4103,completed
12,known_visit,HIPC,bernoulli,drop_0.25,19,361,4,20,targets_20_hipc_h1_bernoulli_025,C:\Users\lottj\Desktop\research\decentralized benchmark\commitment-horizon-study\scenarios\known_visit_g19_t20_n25.csv,20,True,62.81342884213837,62.81342884213837,4,4,4,141,36,132,13,3,1,1,0,0.0,0,326,0,321,841,120,143,178,288,33,0.22556390977443608,16.05,1.65,collision_intent:143;hipc_clear_bundle:2;hipc_entry:31;state:145,0.25,0.06439393939393945,72,47.928,1.9141,33.5432,1.6539,72,14.3848,0.3246,completed
13,known_visit,HIPC,bernoulli,drop_0.25,19,361,4,20,targets_20_hipc_h1_bernoulli_025,C:\Users\lottj\Desktop\research\decentralized benchmark\commitment-horizon-study\scenarios\known_visit_g19_t20_n25.csv,20,True,44.78656361910943,44.78656361910943,0,0,0,104,26,108,0,1,0,0,0,0.0,0,233,0,238,611,100,104,134,212,26,0.2506265664160401,11.9,1.3,collision_intent:104;hipc_entry:26;state:108,0.125,0.0,56,50.2775,2.3117,36.1634,1.8898,56,14.1141,0.4219,completed
