trial_id,trial_mode,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_count,condition_id,scenario_file,robot_id,steps_total,targets_found,task_cell_revisits,unique_cells_contributed,system_revisits_by_robot,task_cell_replans,path_replans,collision_prevention_events,blocked_task_quarantines,blocked_task_quarantine_time_s,maximum_quarantine_level,stall_recoveries,messages_sent,core_messages_sent,allocation_messages_sent,messages_delivered_to_robot,messages_dropped_to_robot,allocator_calls,allocator_time_ms_total,allocator_time_ms_mean,allocator_time_ms_median,allocator_time_ms_p95,allocator_time_ms_max,allocator_solve_time_ms_total,allocator_solve_time_ms_mean,allocator_solve_time_ms_median,allocator_solve_time_ms_p95,allocator_solve_time_ms_max,candidate_filter_calls,candidate_filter_time_ms_total,candidate_filter_time_ms_mean,candidate_filter_time_ms_median,candidate_filter_time_ms_p95,candidate_filter_time_ms_max,trial_status,stage,environment,parameter,value,setting,algorithm_key,canonical_algorithm,comm_label,target_count_condition,scenario_generation_seed,scenario_sha256,out_dir,run_id
2,known_visit,ACBBA,bernoulli,drop_0.25,19,361,4,5,targets_5_acbba_h1_bernoulli_025,C:\Users\lottj\Desktop\research\decentralized benchmark\commitment-horizon-study\scenarios\known_visit_g19_t5_n25.csv,02,16,2,0,17,0,1,0,0,0,0.0,0,0,48,33,15,112,29,6,1.875,0.3125,0.2882,0.49,0.49,0.7895,0.13158333333333333,0.11025,0.2659,0.2659,6,1.0855,0.18091666666666664,0.1685,0.2241,0.2241,completed,target_load_horizon_pilot,known,commitment_horizon,1,h1,acbba,ACBBA,bernoulli_025,5,2026082105,e4ebd836af9857813608ca9f91cfef30ea406653734842494b8720b8bab73606,results/raw/targets_5/h1/bernoulli/targets_5_acbba_h1_bernoulli_025,targets_5_acbba_h1_bernoulli_025
2,known_visit,ACBBA,bernoulli,drop_0.25,19,361,4,5,targets_5_acbba_h1_bernoulli_025,C:\Users\lottj\Desktop\research\decentralized benchmark\commitment-horizon-study\scenarios\known_visit_g19_t5_n25.csv,03,11,0,1,11,1,6,3,1,1,5.0,1,0,44,25,19,128,18,25,6.3305,0.25322,0.2353,0.3527,0.4458,2.2363,0.089452,0.069,0.1707,0.2334,25,4.0942,0.163768,0.1658,0.1865,0.2124,completed,target_load_horizon_pilot,known,commitment_horizon,1,h1,acbba,ACBBA,bernoulli_025,5,2026082105,e4ebd836af9857813608ca9f91cfef30ea406653734842494b8720b8bab73606,results/raw/targets_5/h1/bernoulli/targets_5_acbba_h1_bernoulli_025,targets_5_acbba_h1_bernoulli_025
3,known_visit,ACBBA,bernoulli,drop_0.25,19,361,4,5,targets_5_acbba_h1_bernoulli_025,C:\Users\lottj\Desktop\research\decentralized benchmark\commitment-horizon-study\scenarios\known_visit_g19_t5_n25.csv,00,21,0,2,18,4,2,0,0,0,0.0,0,0,58,43,15,116,19,5,1.5218,0.30436,0.3303,0.3689,0.3689,0.5505,0.1101,0.1169,0.1434,0.1434,5,0.9713,0.19426000000000002,0.2134,0.2257,0.2257,completed,target_load_horizon_pilot,known,commitment_horizon,1,h1,acbba,ACBBA,bernoulli_025,5,2026082105,e4ebd836af9857813608ca9f91cfef30ea406653734842494b8720b8bab73606,results/raw/targets_5/h1/bernoulli/targets_5_acbba_h1_bernoulli_025,targets_5_acbba_h1_bernoulli_025
3,known_visit,ACBBA,bernoulli,drop_0.25,19,361,4,5,targets_5_acbba_h1_bernoulli_025,C:\Users\lottj\Desktop\research\decentralized benchmark\commitment-horizon-study\scenarios\known_visit_g19_t5_n25.csv,01,22,2,0,23,0,0,0,0,0,0.0,0,0,57,45,12,118,19,5,1.2143,0.24286,0.2732,0.3452,0.3452,0.3772,0.07544,0.0718,0.127,0.127,5,0.8371,0.16741999999999999,0.1989,0.2182,0.2182,completed,target_load_horizon_pilot,known,commitment_horizon,1,h1,acbba,ACBBA,bernoulli_025,5,2026082105,e4ebd836af9857813608ca9f91cfef30ea406653734842494b8720b8bab73606,results/raw/targets_5/h1/bernoulli/targets_5_acbba_h1_bernoulli_025,targets_5_acbba_h1_bernoulli_025
3,known_visit,ACBBA,bernoulli,drop_0.25,19,361,4,5,targets_5_acbba_h1_bernoulli_025,C:\Users\lottj\Desktop\research\decentralized benchmark\commitment-horizon-study\scenarios\known_visit_g19_t5_n25.csv,02,15,0,1,15,1,1,3,3,0,0.0,0,0,50,35,15,122,21,22,4.0431,0.18377727272727273,0.13665,0.3624,0.3663,1.3131,0.059686363636363635,0.041,0.1412,0.1475,22,2.73,0.12409090909090909,0.0959,0.2188,0.2212,completed,target_load_horizon_pilot,known,commitment_horizon,1,h1,acbba,ACBBA,bernoulli_025,5,2026082105,e4ebd836af9857813608ca9f91cfef30ea406653734842494b8720b8bab73606,results/raw/targets_5/h1/bernoulli/targets_5_acbba_h1_bernoulli_025,targets_5_acbba_h1_bernoulli_025
3,known_visit,ACBBA,bernoulli,drop_0.25,19,361,4,5,targets_5_acbba_h1_bernoulli_025,C:\Users\lottj\Desktop\research\decentralized benchmark\commitment-horizon-study\scenarios\known_visit_g19_t5_n25.csv,03,7,3,0,8,0,0,0,0,0,0.0,0,0,29,16,13,133,31,52,8.8019,0.1692673076923077,0.1405,0.3373,0.3556,2.7521,0.052925,0.042800000000000005,0.1315,0.1365,52,6.0498,0.1163423076923077,0.0975,0.2033,0.2241,completed,target_load_horizon_pilot,known,commitment_horizon,1,h1,acbba,ACBBA,bernoulli_025,5,2026082105,e4ebd836af9857813608ca9f91cfef30ea406653734842494b8720b8bab73606,results/raw/targets_5/h1/bernoulli/targets_5_acbba_h1_bernoulli_025,targets_5_acbba_h1_bernoulli_025
4,known_visit,ACBBA,bernoulli,drop_0.25,19,361,4,5,targets_5_acbba_h1_bernoulli_025,C:\Users\lottj\Desktop\research\decentralized benchmark\commitment-horizon-study\scenarios\known_visit_g19_t5_n25.csv,00,23,1,0,24,0,1,0,0,0,0.0,0,0,65,47,18,154,35,7,1.9209999999999998,0.2744285714285714,0.2913,0.4291,0.4291,0.7592,0.10845714285714285,0.1174,0.1889,0.1889,7,1.1618,0.16597142857142858,0.1725,0.2402,0.2402,completed,target_load_horizon_pilot,known,commitment_horizon,1,h1,acbba,ACBBA,bernoulli_025,5,2026082105,e4ebd836af9857813608ca9f91cfef30ea406653734842494b8720b8bab73606,results/raw/targets_5/h1/bernoulli/targets_5_acbba_h1_bernoulli_025,targets_5_acbba_h1_bernoulli_025
4,known_visit,ACBBA,bernoulli,drop_0.25,19,361,4,5,targets_5_acbba_h1_bernoulli_025,C:\Users\lottj\Desktop\research\decentralized benchmark\commitment-horizon-study\scenarios\known_visit_g19_t5_n25.csv,01,23,4,0,24,0,0,1,1,0,0.0,0,0,65,48,17,162,28,5,1.2294,0.24588000000000002,0.2707,0.3125,0.3125,0.5109,0.10218,0.1198,0.1288,0.1288,5,0.7185,0.1437,0.1419,0.1882,0.1882,completed,target_load_horizon_pilot,known,commitment_horizon,1,h1,acbba,ACBBA,bernoulli_025,5,2026082105,e4ebd836af9857813608ca9f91cfef30ea406653734842494b8720b8bab73606,results/raw/targets_5/h1/bernoulli/targets_5_acbba_h1_bernoulli_025,targets_5_acbba_h1_bernoulli_025
4,known_visit,ACBBA,bernoulli,drop_0.25,19,361,4,5,targets_5_acbba_h1_bernoulli_025,C:\Users\lottj\Desktop\research\decentralized benchmark\commitment-horizon-study\scenarios\known_visit_g19_t5_n25.csv,02,22,0,1,20,3,5,1,1,0,0.0,0,0,68,47,21,148,38,10,2.5932,0.25932,0.2994,0.3559,0.3559,1.0551,0.10550999999999999,0.12475,0.1598,0.1598,10,1.5381,0.15381,0.1744,0.1961,0.1961,completed,target_load_horizon_pilot,known,commitment_horizon,1,h1,acbba,ACBBA,bernoulli_025,5,2026082105,e4ebd836af9857813608ca9f91cfef30ea406653734842494b8720b8bab73606,results/raw/targets_5/h1/bernoulli/targets_5_acbba_h1_bernoulli_025,targets_5_acbba_h1_bernoulli_025
4,known_visit,ACBBA,bernoulli,drop_0.25,19,361,4,5,targets_5_acbba_h1_bernoulli_025,C:\Users\lottj\Desktop\research\decentralized benchmark\commitment-horizon-study\scenarios\known_visit_g19_t5_n25.csv,03,19,0,1,19,1,2,0,0,0,0.0,0,0,57,40,17,167,30,21,4.0076,0.19083809523809525,0.1664,0.3017,0.313,1.4269,0.06794761904761905,0.0599,0.1143,0.1159,21,2.5807,0.1228904761904762,0.1067,0.1874,0.1971,completed,target_load_horizon_pilot,known,commitment_horizon,1,h1,acbba,ACBBA,bernoulli_025,5,2026082105,e4ebd836af9857813608ca9f91cfef30ea406653734842494b8720b8bab73606,results/raw/targets_5/h1/bernoulli/targets_5_acbba_h1_bernoulli_025,targets_5_acbba_h1_bernoulli_025
