trial_id,trial_mode,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_count,condition_id,scenario_file,completed_target_count,all_targets_visited,final_target_completion_time_s,final_target_completion_sim_time_s,duplicate_target_visits,target_conflicts,task_cell_revisits_total,total_team_steps,max_robot_steps,unique_cells_visited,system_revisits,task_cell_replans_total,path_replans_total,collision_prevention_events,blocked_task_quarantines_total,blocked_task_quarantine_time_s_total,maximum_quarantine_level,events_processed,stall_recoveries_total,messages_sent_total,messages_delivered_total,messages_dropped_total,protected_messages_sent_total,unprotected_messages_sent_total,core_messages_sent_total,allocation_messages_sent_total,message_drop_fraction,messages_per_completed_target,allocation_messages_per_completed_target,messages_sent_by_topic,workload_gini_targets_found,workload_gini_unique_cells_contributed,allocator_calls_total,allocator_time_ms_team_total,allocator_time_ms_team_max,allocator_solve_time_ms_team_total,allocator_solve_time_ms_team_max,candidate_filter_calls_total,candidate_filter_time_ms_team_total,candidate_filter_time_ms_team_max,trial_status
0,known_visit,HIPC,bernoulli,drop_0.25,19,361,4,20,targets_20_hipc_h5_bernoulli_025,C:\Users\lottj\Desktop\research\decentralized benchmark\commitment-horizon-study\scenarios\known_visit_g19_t20_n25.csv,20,True,66.80190185890571,66.80190185890571,4,4,4,121,39,110,15,0,1,1,0,0.0,0,381,0,389,983,181,124,265,249,140,0.22853535353535354,19.45,7.0,collision_intent:124;hipc_clear_bundle:3;hipc_entry:137;state:125,0.19999999999999996,0.18181818181818188,172,132.9273,6.9669,90.3471,6.5424,172,42.5802,2.5441,completed
1,known_visit,HIPC,bernoulli,drop_0.25,19,361,4,20,targets_20_hipc_h5_bernoulli_025,C:\Users\lottj\Desktop\research\decentralized benchmark\commitment-horizon-study\scenarios\known_visit_g19_t20_n25.csv,20,True,60.182289516450076,60.182289516450076,3,3,3,104,35,100,8,0,3,1,1,5.0,1,357,0,318,787,165,108,210,216,102,0.2627388535031847,15.9,5.1,collision_intent:108;hipc_clear_bundle:3;hipc_entry:99;state:108,0.32499999999999996,0.20500000000000007,162,155.4712,10.0885,122.6446,9.6491,162,32.8266,0.4394,completed
2,known_visit,HIPC,bernoulli,drop_0.25,19,361,4,20,targets_20_hipc_h5_bernoulli_025,C:\Users\lottj\Desktop\research\decentralized benchmark\commitment-horizon-study\scenarios\known_visit_g19_t20_n25.csv,20,True,61.35249574591774,61.35249574591774,5,5,5,139,36,129,14,1,1,1,0,0.0,0,316,0,437,1091,217,141,296,284,153,0.24519774011299436,21.85,7.65,collision_intent:141;hipc_clear_bundle:2;hipc_entry:151;state:143,0.19999999999999996,0.06007751937984507,63,79.811,6.665,64.391,6.1713,63,15.42,0.4937,completed
3,known_visit,HIPC,bernoulli,drop_0.25,19,361,4,20,targets_20_hipc_h5_bernoulli_025,C:\Users\lottj\Desktop\research\decentralized benchmark\commitment-horizon-study\scenarios\known_visit_g19_t20_n25.csv,20,True,54.68818113696063,54.68818113696063,1,1,1,100,32,100,4,2,0,0,0,0.0,0,313,0,335,832,171,103,232,207,128,0.24639769452449567,16.75,6.4,collision_intent:103;hipc_clear_bundle:4;hipc_entry:124;state:104,0.2250000000000001,0.16999999999999993,140,120.4202,4.3007,90.9189,4.0303,140,29.5013,0.4215,completed
4,known_visit,HIPC,bernoulli,drop_0.25,19,361,4,20,targets_20_hipc_h5_bernoulli_025,C:\Users\lottj\Desktop\research\decentralized benchmark\commitment-horizon-study\scenarios\known_visit_g19_t20_n25.csv,20,True,86.25118451017109,86.25118451017109,0,0,0,107,50,109,2,0,0,0,0,0.0,0,557,0,324,804,165,110,214,221,103,0.25821596244131456,16.2,5.15,collision_intent:110;hipc_clear_bundle:3;hipc_entry:100;state:111,0.125,0.23623853211009171,362,183.157,5.1726,117.5208,4.7492,362,65.6362,0.4279,completed
5,known_visit,HIPC,bernoulli,drop_0.25,19,361,4,20,targets_20_hipc_h5_bernoulli_025,C:\Users\lottj\Desktop\research\decentralized benchmark\commitment-horizon-study\scenarios\known_visit_g19_t20_n25.csv,20,True,79.09394080547611,79.09394080547611,6,6,6,135,45,127,12,2,0,0,0,0.0,0,467,0,416,1012,235,138,278,277,139,0.28211284513805523,20.8,6.95,collision_intent:138;hipc_clear_bundle:3;hipc_entry:136;state:139,0.375,0.17125984251968496,213,169.9463,6.1014,120.5783,5.675,213,49.368,0.4709,completed
6,known_visit,HIPC,bernoulli,drop_0.25,19,361,4,20,targets_20_hipc_h5_bernoulli_025,C:\Users\lottj\Desktop\research\decentralized benchmark\commitment-horizon-study\scenarios\known_visit_g19_t20_n25.csv,20,True,67.00898633291273,67.00898633291273,1,1,1,95,39,98,1,3,0,0,0,0.0,0,417,0,318,762,192,100,218,199,119,0.29357798165137616,15.9,5.95,collision_intent:100;hipc_clear_bundle:7;hipc_entry:112;state:99,0.19999999999999996,0.23469387755102034,249,266.1077,12.3085,213.6896,10.6285,249,52.4181,1.68,completed
7,known_visit,HIPC,bernoulli,drop_0.25,19,361,4,20,targets_20_hipc_h5_bernoulli_025,C:\Users\lottj\Desktop\research\decentralized benchmark\commitment-horizon-study\scenarios\known_visit_g19_t20_n25.csv,20,True,62.076983153260564,62.076983153260564,2,2,2,107,36,103,8,4,0,0,0,0.0,0,366,0,348,871,171,110,238,221,127,0.2401685393258427,17.4,6.35,collision_intent:110;hipc_clear_bundle:4;hipc_entry:123;state:111,0.30000000000000004,0.1771844660194175,173,240.2794,9.3169,197.6373,8.8972,173,42.6421,0.4582,completed
8,known_visit,HIPC,bernoulli,drop_0.25,19,361,4,20,targets_20_hipc_h5_bernoulli_025,C:\Users\lottj\Desktop\research\decentralized benchmark\commitment-horizon-study\scenarios\known_visit_g19_t20_n25.csv,20,True,56.06845324377407,56.06845324377407,0,0,0,93,33,95,2,1,2,2,0,0.0,0,339,0,294,715,165,98,196,195,99,0.2815699658703072,14.7,4.95,collision_intent:98;hipc_clear_bundle:3;hipc_entry:96;state:97,0.1499999999999999,0.18157894736842106,167,151.3596,6.5434,111.8611,6.2178,167,39.4985,0.4951,completed
9,known_visit,HIPC,bernoulli,drop_0.25,19,361,4,20,targets_20_hipc_h5_bernoulli_025,C:\Users\lottj\Desktop\research\decentralized benchmark\commitment-horizon-study\scenarios\known_visit_g19_t20_n25.csv,20,True,64.40720149876509,64.40720149876509,3,3,3,115,37,108,11,2,6,1,2,20.0,2,373,0,368,897,205,119,249,238,130,0.2751677852348993,18.4,6.5,collision_intent:119;hipc_clear_bundle:7;hipc_entry:123;state:119,0.125,0.12037037037037046,170,205.801,8.0277,166.7406,7.5594,170,39.0604,0.4683,completed
