trial_id,trial_mode,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_count,condition_id,scenario_file,completed_target_count,all_targets_visited,final_target_completion_time_s,final_target_completion_sim_time_s,duplicate_target_visits,target_conflicts,task_cell_revisits_total,total_team_steps,max_robot_steps,unique_cells_visited,system_revisits,task_cell_replans_total,path_replans_total,collision_prevention_events,blocked_task_quarantines_total,blocked_task_quarantine_time_s_total,maximum_quarantine_level,events_processed,stall_recoveries_total,messages_sent_total,messages_delivered_total,messages_dropped_total,protected_messages_sent_total,unprotected_messages_sent_total,core_messages_sent_total,allocation_messages_sent_total,message_drop_fraction,messages_per_completed_target,allocation_messages_per_completed_target,messages_sent_by_topic,workload_gini_targets_found,workload_gini_unique_cells_contributed,allocator_calls_total,allocator_time_ms_team_total,allocator_time_ms_team_max,allocator_solve_time_ms_team_total,allocator_solve_time_ms_team_max,candidate_filter_calls_total,candidate_filter_time_ms_team_total,candidate_filter_time_ms_team_max,trial_status
0,known_visit,ACBBA,bernoulli,drop_0.25,19,361,4,5,targets_5_acbba_h3_bernoulli_025,C:\Users\lottj\Desktop\research\decentralized benchmark\commitment-horizon-study\scenarios\known_visit_g19_t5_n25.csv,5,True,61.26082841207598,61.26082841207598,0,0,0,80,36,83,1,5,1,1,0,0.0,0,390,0,281,706,136,84,197,168,113,0.2305084745762712,56.2,22.6,acbba_entry:113;collision_intent:84;state:84,0.55,0.2801204819277108,242,41.9738,0.4459,15.854,0.2854,242,26.1198,0.1933,completed
1,known_visit,ACBBA,bernoulli,drop_0.25,19,361,4,5,targets_5_acbba_h3_bernoulli_025,C:\Users\lottj\Desktop\research\decentralized benchmark\commitment-horizon-study\scenarios\known_visit_g19_t5_n25.csv,5,True,26.89259866656454,26.89259866656454,0,0,0,45,16,49,0,4,1,1,0,0.0,0,165,0,198,479,113,51,147,100,98,0.25740318906605925,39.6,19.6,acbba_entry:98;collision_intent:51;state:49,0.1499999999999999,0.1377551020408163,82,15.9409,0.6612,6.6795,0.4608,82,9.2614,0.2012,completed
2,known_visit,ACBBA,bernoulli,drop_0.25,19,361,4,5,targets_5_acbba_h3_bernoulli_025,C:\Users\lottj\Desktop\research\decentralized benchmark\commitment-horizon-study\scenarios\known_visit_g19_t5_n25.csv,5,True,30.263889289419065,30.263889289419065,2,2,2,61,18,62,3,2,0,0,0,0.0,0,169,0,257,628,142,64,193,129,128,0.24567474048442905,51.4,25.6,acbba_entry:128;collision_intent:64;state:65,0.55,0.12096774193548376,60,12.1334,0.3535,5.3817,0.224,60,6.7517,0.1644,completed
3,known_visit,ACBBA,bernoulli,drop_0.25,19,361,4,5,targets_5_acbba_h3_bernoulli_025,C:\Users\lottj\Desktop\research\decentralized benchmark\commitment-horizon-study\scenarios\known_visit_g19_t5_n25.csv,5,True,36.67525259833143,36.67525259833143,0,0,0,49,22,51,2,2,9,1,3,65.0,3,231,0,177,433,96,52,125,105,72,0.257372654155496,35.4,14.4,acbba_entry:72;collision_intent:52;state:53,0.3500000000000001,0.3088235294117647,140,22.0868,0.3659,7.6937,0.2286,140,14.3931,0.173,completed
4,known_visit,ACBBA,bernoulli,drop_0.25,19,361,4,5,targets_5_acbba_h3_bernoulli_025,C:\Users\lottj\Desktop\research\decentralized benchmark\commitment-horizon-study\scenarios\known_visit_g19_t5_n25.csv,5,True,35.57183911458011,35.57183911458011,0,0,0,67,21,71,0,2,0,0,0,0.0,0,202,0,223,535,129,68,155,139,84,0.28043478260869564,44.6,16.8,acbba_entry:84;collision_intent:68;state:71,0.44999999999999996,0.1795774647887325,77,14.9655,0.5368,6.384,0.3514,77,8.5815,0.1997,completed
5,known_visit,ACBBA,bernoulli,drop_0.25,19,361,4,5,targets_5_acbba_h3_bernoulli_025,C:\Users\lottj\Desktop\research\decentralized benchmark\commitment-horizon-study\scenarios\known_visit_g19_t5_n25.csv,5,True,33.30570198686274,33.30570198686274,0,0,0,55,20,59,0,4,0,0,0,0.0,0,202,0,214,518,122,60,154,119,95,0.26521739130434785,42.8,19.0,acbba_entry:95;collision_intent:60;state:59,0.3500000000000001,0.19915254237288127,101,19.6643,0.5357,8.0013,0.3426,101,11.663,0.206,completed
6,known_visit,ACBBA,bernoulli,drop_0.25,19,361,4,5,targets_5_acbba_h3_bernoulli_025,C:\Users\lottj\Desktop\research\decentralized benchmark\commitment-horizon-study\scenarios\known_visit_g19_t5_n25.csv,5,True,43.92441659589059,43.92441659589059,0,0,0,63,26,63,4,10,3,1,1,5.0,1,275,0,236,568,137,67,169,134,102,0.2718253968253968,47.2,20.4,acbba_entry:102;collision_intent:67;state:67,0.55,0.3134920634920635,156,26.8624,0.6524,10.2885,0.4301,156,16.5739,0.2223,completed
7,known_visit,ACBBA,bernoulli,drop_0.25,19,361,4,5,targets_5_acbba_h3_bernoulli_025,C:\Users\lottj\Desktop\research\decentralized benchmark\commitment-horizon-study\scenarios\known_visit_g19_t5_n25.csv,5,True,32.65791526863933,32.65791526863933,1,1,1,59,20,62,1,2,0,0,0,0.0,0,187,0,212,514,119,63,149,126,86,0.268018018018018,42.4,17.2,acbba_entry:86;collision_intent:63;state:63,0.55,0.153225806451613,80,15.3639,0.4747,6.0985,0.2884,80,9.2654,0.1863,completed
8,known_visit,ACBBA,bernoulli,drop_0.25,19,361,4,5,targets_5_acbba_h3_bernoulli_025,C:\Users\lottj\Desktop\research\decentralized benchmark\commitment-horizon-study\scenarios\known_visit_g19_t5_n25.csv,5,True,34.73305621670965,34.73305621670965,1,1,1,61,21,61,4,2,7,3,2,10.0,1,206,0,217,526,116,68,149,133,84,0.26303854875283444,43.4,16.8,acbba_entry:84;collision_intent:68;state:65,0.3500000000000001,0.20901639344262302,87,16.5928,0.544,6.7295,0.3244,87,9.8633,0.2196,completed
9,known_visit,ACBBA,bernoulli,drop_0.25,19,361,4,5,targets_5_acbba_h3_bernoulli_025,C:\Users\lottj\Desktop\research\decentralized benchmark\commitment-horizon-study\scenarios\known_visit_g19_t5_n25.csv,5,True,42.563457468592915,42.563457468592915,0,0,0,60,19,64,0,1,6,1,2,20.0,2,267,0,202,496,108,65,137,129,73,0.26405867970660146,40.4,14.6,acbba_entry:73;collision_intent:65;state:64,0.3500000000000001,0.140625,150,25.1999,0.3659,9.1307,0.2384,150,16.0692,0.1391,completed
