transfer_row_id,target_count,algorithm,comm_label,effort_selected_horizon,makespan_selected_horizon,metric,metric_display,paired_n,effort_selected_mean,makespan_selected_mean,mean_paired_difference_effort_minus_makespan,median_paired_difference_effort_minus_makespan,percent_change_effort_vs_makespan,makespan_penalty_pct,paired_bootstrap_difference_ci95_lower,paired_bootstrap_difference_ci95_upper,paired_bootstrap_percent_change_ci95_lower,paired_bootstrap_percent_change_ci95_upper,wilcoxon_raw_p_value,holm_p_value,rank_biserial_effort_minus_makespan,scope
17,5,ACBBA,bernoulli_025,5,1,active_robot_count,Active robots completing at least one target,25,3.08,2.92,0.16,0,5.47945205479452,NaN,-0.16,0.52,-5.40540540540541,18.8405797101449,0.3809814453125,1,0.257142857142857,pilot/exploratory paired effort-selected minus makespan-selected contrast
20,5,ACBBA,bernoulli_025,5,1,allocation_messages,Allocation messages,25,116.16,65.56,50.6,48,77.1812080536913,NaN,41.2,60.001,62.6578283714297,91.9978561143269,1.36999531394729e-05,6.11181142129283e-05,0.993846153846154,pilot/exploratory paired effort-selected minus makespan-selected contrast
22,5,ACBBA,bernoulli_025,5,1,allocator_time_ms,Allocator computation time (ms),25,31.387408,11.659012,19.728396,17.4304,169.211559264198,NaN,14.4410924,25.2489573,107.706305931072,248.466873159142,1.77348399029039e-05,6.14516110512422e-05,0.981538461538462,pilot/exploratory paired effort-selected minus makespan-selected contrast
14,5,ACBBA,bernoulli_025,5,1,final_completion_time,Final simulated mission-completion time (s),25,44.5520546595908,35.156262775236,9.39579188435476,8.41596304958435,26.7257983148685,NaN,4.43156453477785,14.4815163083834,12.0698069058965,42.3580105976332,0.00269872675230704,0.00809618025692111,0.686153846153846,pilot/exploratory paired effort-selected minus makespan-selected contrast
19,5,ACBBA,bernoulli_025,5,1,max_individual_steps,Maximum individual movement workload (steps),25,24.6,21,3.6,2,17.1428571428571,NaN,1.08,6.28,5.00894454382828,30.7385423705119,0.0107719289959123,0.0323157869877369,0.663157894736842,pilot/exploratory paired effort-selected minus makespan-selected contrast
13,5,ACBBA,bernoulli_025,5,1,max_robot_steps,Makespan (maximum robot steps),25,24.6,21,3.6,2,17.1428571428571,17.1428571428571,1.08,6.28,4.86881263285757,30.8448954024251,0.0107719289959123,0.0323157869877369,0.663157894736842,pilot/exploratory paired effort-selected minus makespan-selected contrast
18,5,ACBBA,bernoulli_025,5,1,max_target_workload,Maximum target workload on one robot,25,2.64,2.56,0.08,0,3.125,NaN,-0.28,0.44,-10.4477611940299,18.3333333333333,0.673578401984493,1,0.110294117647059,pilot/exploratory paired effort-selected minus makespan-selected contrast
16,5,ACBBA,bernoulli_025,5,1,movement_workload_gini,Movement-workload Gini,25,0.217789378486266,0.118629633287878,0.0991597451983884,0.0739822100581593,83.5876689914048,NaN,0.0547977786603332,0.144234802977847,42.5698814041202,136.155001669816,0.000890537644222049,0.00267161293266615,0.76,pilot/exploratory paired effort-selected minus makespan-selected contrast
15,5,ACBBA,bernoulli_025,5,1,target_workload_gini,Target-workload Gini,25,0.382,0.398,-0.016,0,-4.02010050251257,NaN,-0.104,0.0679999999999999,-23.5807860262008,18.4063237376121,0.671341666786528,1,-0.110526315789474,pilot/exploratory paired effort-selected minus makespan-selected contrast
21,5,ACBBA,bernoulli_025,5,1,total_messages,Total messages,25,254.84,212.56,42.28,50,19.8908543470079,NaN,25.879,58.08,12.1927618839198,27.4120171855692,0.00025253907099152,0.00101015628396608,0.836923076923077,pilot/exploratory paired effort-selected minus makespan-selected contrast
