target_count,algorithm,comm_label,horizon,metric,metric_display,available,n,mean,median,standard_deviation,standard_error,minimum,maximum,required_metric
5,ACBBA,bernoulli_025,2,allocator_time_ms,Allocator computation time (ms),1,25,19.82348,20.1203,7.47018370356446,1.49403674071289,8.1689,34.409,0
5,ACBBA,bernoulli_025,2,final_completion_time,Final simulated mission-completion time (s),1,25,39.0397723347987,37.7542866624926,9.30870174386965,1.86174034877393,17.8640723718388,59.7604042543128,0
5,ACBBA,bernoulli_025,2,max_individual_steps,Maximum individual movement workload (steps),1,25,23.04,23,5.45802161959808,1.09160432391962,11,34,0
5,ACBBA,bernoulli_025,2,max_robot_steps,Makespan (maximum robot steps),1,25,23.04,23,5.45802161959808,1.09160432391962,11,34,1
5,ACBBA,bernoulli_025,2,max_target_workload,Maximum target workload on one robot,1,25,2.36,2,0.568624070307733,0.113724814061547,2,4,0
5,ACBBA,bernoulli_025,2,movement_workload_gini,Movement-workload Gini,1,25,0.219558672784891,0.221698113207547,0.0805120213525692,0.0161024042705138,0.0611111111111111,0.361111111111111,0
5,ACBBA,bernoulli_025,2,target_workload_gini,Target-workload Gini,1,25,0.338,0.35,0.139403491108843,0.0278806982217687,0.15,0.65,0
5,ACBBA,bernoulli_025,2,total_messages,Total messages,1,25,220.36,223,51.3297184874416,10.2659436974883,135,324,0
5,ACBBA,bernoulli_025,2,total_team_steps,Total team steps,1,25,63.04,64,16.6595318061463,3.33190636122926,32,96,1
5,ACBBA,bernoulli_025,3,active_robot_count,Active robots completing at least one target,1,25,2.88,3,0.665832811847939,0.133166562369588,2,4,0
5,ACBBA,bernoulli_025,3,allocation_messages,Allocation messages,1,25,93.32,91,19.1305166335535,3.8261033267107,66,140,0
5,ACBBA,bernoulli_025,3,allocator_time_ms,Allocator computation time (ms),1,25,22.936768,21.5013,7.73270928764729,1.54654185752946,12.1334,41.9738,0
5,ACBBA,bernoulli_025,3,final_completion_time,Final simulated mission-completion time (s),1,25,41.5147549244849,41.9599786207119,7.80900687344327,1.56180137468865,26.8925986665645,61.260828412076,0
5,ACBBA,bernoulli_025,3,max_individual_steps,Maximum individual movement workload (steps),1,25,24.32,24,4.62529278352553,0.925058556705106,16,36,0
5,ACBBA,bernoulli_025,3,max_robot_steps,Makespan (maximum robot steps),1,25,24.32,24,4.62529278352553,0.925058556705106,16,36,1
5,ACBBA,bernoulli_025,3,max_target_workload,Maximum target workload on one robot,1,25,2.6,3,0.645497224367903,0.129099444873581,2,4,0
5,ACBBA,bernoulli_025,3,movement_workload_gini,Movement-workload Gini,1,25,0.22454929778959,0.209016393442623,0.0743151136038242,0.0148630227207648,0.102272727272727,0.3515625,0
5,ACBBA,bernoulli_025,3,target_workload_gini,Target-workload Gini,1,25,0.406,0.45,0.14742229591664,0.029484459183328,0.15,0.65,0
