target_count,algorithm,selection_metric,candidate_set,candidate_horizons,horizon,eligible,mean_response,standard_error,selected_horizon,selected,paired_trial_n,normalization,analysis_scope
5,HIPC,max_robot_steps,all_horizons,1;2;3;5;8;12,2,1,22.54,0.83112373727783,1,0,25,equal-weight ideal/Bernoulli mean within each paired trial,pilot/exploratory; selected on the same 25 paired scenarios summarized here
5,HIPC,max_robot_steps,all_horizons,1;2;3;5;8;12,3,1,24.56,0.94,1,0,25,equal-weight ideal/Bernoulli mean within each paired trial,pilot/exploratory; selected on the same 25 paired scenarios summarized here
5,HIPC,max_robot_steps,all_horizons,1;2;3;5;8;12,5,1,27.96,1.31558605445127,1,0,25,equal-weight ideal/Bernoulli mean within each paired trial,pilot/exploratory; selected on the same 25 paired scenarios summarized here
5,HIPC,max_robot_steps,all_horizons,1;2;3;5;8;12,8,1,27.96,1.31558605445127,1,0,25,equal-weight ideal/Bernoulli mean within each paired trial,pilot/exploratory; selected on the same 25 paired scenarios summarized here
5,HIPC,max_robot_steps,all_horizons,1;2;3;5;8;12,12,1,27.96,1.31558605445127,1,0,25,equal-weight ideal/Bernoulli mean within each paired trial,pilot/exploratory; selected on the same 25 paired scenarios summarized here
5,HIPC,max_robot_steps,exclude_horizon_1,2;3;5;8;12,1,0,20.24,0.511631377719024,2,0,25,equal-weight ideal/Bernoulli mean within each paired trial,pilot/exploratory; selected on the same 25 paired scenarios summarized here
5,HIPC,max_robot_steps,exclude_horizon_1,2;3;5;8;12,2,1,22.54,0.83112373727783,2,1,25,equal-weight ideal/Bernoulli mean within each paired trial,pilot/exploratory; selected on the same 25 paired scenarios summarized here
5,HIPC,max_robot_steps,exclude_horizon_1,2;3;5;8;12,3,1,24.56,0.94,2,0,25,equal-weight ideal/Bernoulli mean within each paired trial,pilot/exploratory; selected on the same 25 paired scenarios summarized here
5,HIPC,max_robot_steps,exclude_horizon_1,2;3;5;8;12,5,1,27.96,1.31558605445127,2,0,25,equal-weight ideal/Bernoulli mean within each paired trial,pilot/exploratory; selected on the same 25 paired scenarios summarized here
5,HIPC,max_robot_steps,exclude_horizon_1,2;3;5;8;12,8,1,27.96,1.31558605445127,2,0,25,equal-weight ideal/Bernoulli mean within each paired trial,pilot/exploratory; selected on the same 25 paired scenarios summarized here
5,HIPC,max_robot_steps,exclude_horizon_1,2;3;5;8;12,12,1,27.96,1.31558605445127,2,0,25,equal-weight ideal/Bernoulli mean within each paired trial,pilot/exploratory; selected on the same 25 paired scenarios summarized here
5,HIPC,total_team_steps,all_horizons,1;2;3;5;8;12,1,1,57.76,2.67568059877607,5,0,25,equal-weight ideal/Bernoulli mean within each paired trial,pilot/exploratory; selected on the same 25 paired scenarios summarized here
5,HIPC,total_team_steps,all_horizons,1;2;3;5;8;12,2,1,46.4,1.7514279888137,5,0,25,equal-weight ideal/Bernoulli mean within each paired trial,pilot/exploratory; selected on the same 25 paired scenarios summarized here
5,HIPC,total_team_steps,all_horizons,1;2;3;5;8;12,3,1,40.72,1.76448292709224,5,0,25,equal-weight ideal/Bernoulli mean within each paired trial,pilot/exploratory; selected on the same 25 paired scenarios summarized here
5,HIPC,total_team_steps,all_horizons,1;2;3;5;8;12,5,1,35.72,1.16407330811537,5,1,25,equal-weight ideal/Bernoulli mean within each paired trial,pilot/exploratory; selected on the same 25 paired scenarios summarized here
5,HIPC,total_team_steps,all_horizons,1;2;3;5;8;12,8,1,35.72,1.16407330811537,5,0,25,equal-weight ideal/Bernoulli mean within each paired trial,pilot/exploratory; selected on the same 25 paired scenarios summarized here
5,HIPC,total_team_steps,all_horizons,1;2;3;5;8;12,12,1,35.72,1.16407330811537,5,0,25,equal-weight ideal/Bernoulli mean within each paired trial,pilot/exploratory; selected on the same 25 paired scenarios summarized here
5,HIPC,total_team_steps,exclude_horizon_1,2;3;5;8;12,1,0,57.76,2.67568059877607,5,0,25,equal-weight ideal/Bernoulli mean within each paired trial,pilot/exploratory; selected on the same 25 paired scenarios summarized here
5,HIPC,total_team_steps,exclude_horizon_1,2;3;5;8;12,2,1,46.4,1.7514279888137,5,0,25,equal-weight ideal/Bernoulli mean within each paired trial,pilot/exploratory; selected on the same 25 paired scenarios summarized here
5,HIPC,total_team_steps,exclude_horizon_1,2;3;5;8;12,3,1,40.72,1.76448292709224,5,0,25,equal-weight ideal/Bernoulli mean within each paired trial,pilot/exploratory; selected on the same 25 paired scenarios summarized here
5,HIPC,total_team_steps,exclude_horizon_1,2;3;5;8;12,5,1,35.72,1.16407330811537,5,1,25,equal-weight ideal/Bernoulli mean within each paired trial,pilot/exploratory; selected on the same 25 paired scenarios summarized here
5,HIPC,total_team_steps,exclude_horizon_1,2;3;5;8;12,8,1,35.72,1.16407330811537,5,0,25,equal-weight ideal/Bernoulli mean within each paired trial,pilot/exploratory; selected on the same 25 paired scenarios summarized here
5,HIPC,total_team_steps,exclude_horizon_1,2;3;5;8;12,12,1,35.72,1.16407330811537,5,0,25,equal-weight ideal/Bernoulli mean within each paired trial,pilot/exploratory; selected on the same 25 paired scenarios summarized here
5,PI,max_robot_steps,all_horizons,1;2;3;5;8;12,1,1,20.48,0.598943514309432,1,1,25,equal-weight ideal/Bernoulli mean within each paired trial,pilot/exploratory; selected on the same 25 paired scenarios summarized here
5,PI,max_robot_steps,all_horizons,1;2;3;5;8;12,2,1,22.9,0.83815273071201,1,0,25,equal-weight ideal/Bernoulli mean within each paired trial,pilot/exploratory; selected on the same 25 paired scenarios summarized here
5,PI,max_robot_steps,all_horizons,1;2;3;5;8;12,3,1,26.64,1.01263682203114,1,0,25,equal-weight ideal/Bernoulli mean within each paired trial,pilot/exploratory; selected on the same 25 paired scenarios summarized here
5,PI,max_robot_steps,all_horizons,1;2;3;5;8;12,5,1,32.82,2.22464978517219,1,0,25,equal-weight ideal/Bernoulli mean within each paired trial,pilot/exploratory; selected on the same 25 paired scenarios summarized here
5,PI,max_robot_steps,all_horizons,1;2;3;5;8;12,8,1,32.82,2.22464978517219,1,0,25,equal-weight ideal/Bernoulli mean within each paired trial,pilot/exploratory; selected on the same 25 paired scenarios summarized here
5,PI,max_robot_steps,all_horizons,1;2;3;5;8;12,12,1,32.82,2.22464978517219,1,0,25,equal-weight ideal/Bernoulli mean within each paired trial,pilot/exploratory; selected on the same 25 paired scenarios summarized here
5,PI,max_robot_steps,exclude_horizon_1,2;3;5;8;12,1,0,20.48,0.598943514309432,2,0,25,equal-weight ideal/Bernoulli mean within each paired trial,pilot/exploratory; selected on the same 25 paired scenarios summarized here
5,PI,max_robot_steps,exclude_horizon_1,2;3;5;8;12,2,1,22.9,0.83815273071201,2,1,25,equal-weight ideal/Bernoulli mean within each paired trial,pilot/exploratory; selected on the same 25 paired scenarios summarized here
5,PI,max_robot_steps,exclude_horizon_1,2;3;5;8;12,3,1,26.64,1.01263682203114,2,0,25,equal-weight ideal/Bernoulli mean within each paired trial,pilot/exploratory; selected on the same 25 paired scenarios summarized here
5,PI,max_robot_steps,exclude_horizon_1,2;3;5;8;12,5,1,32.82,2.22464978517219,2,0,25,equal-weight ideal/Bernoulli mean within each paired trial,pilot/exploratory; selected on the same 25 paired scenarios summarized here
5,PI,max_robot_steps,exclude_horizon_1,2;3;5;8;12,8,1,32.82,2.22464978517219,2,0,25,equal-weight ideal/Bernoulli mean within each paired trial,pilot/exploratory; selected on the same 25 paired scenarios summarized here
5,PI,max_robot_steps,exclude_horizon_1,2;3;5;8;12,12,1,32.82,2.22464978517219,2,0,25,equal-weight ideal/Bernoulli mean within each paired trial,pilot/exploratory; selected on the same 25 paired scenarios summarized here
5,PI,total_team_steps,all_horizons,1;2;3;5;8;12,1,1,66.2,2.52355569253649,3,0,25,equal-weight ideal/Bernoulli mean within each paired trial,pilot/exploratory; selected on the same 25 paired scenarios summarized here
5,PI,total_team_steps,all_horizons,1;2;3;5;8;12,2,1,56.12,1.82945347030199,3,0,25,equal-weight ideal/Bernoulli mean within each paired trial,pilot/exploratory; selected on the same 25 paired scenarios summarized here
5,PI,total_team_steps,all_horizons,1;2;3;5;8;12,3,1,53.88,2.21176400187723,3,1,25,equal-weight ideal/Bernoulli mean within each paired trial,pilot/exploratory; selected on the same 25 paired scenarios summarized here
5,PI,total_team_steps,all_horizons,1;2;3;5;8;12,5,1,55.46,2.67876215194008,3,0,25,equal-weight ideal/Bernoulli mean within each paired trial,pilot/exploratory; selected on the same 25 paired scenarios summarized here
5,PI,total_team_steps,all_horizons,1;2;3;5;8;12,8,1,55.46,2.67876215194008,3,0,25,equal-weight ideal/Bernoulli mean within each paired trial,pilot/exploratory; selected on the same 25 paired scenarios summarized here
5,PI,total_team_steps,all_horizons,1;2;3;5;8;12,12,1,55.46,2.67876215194008,3,0,25,equal-weight ideal/Bernoulli mean within each paired trial,pilot/exploratory; selected on the same 25 paired scenarios summarized here
5,PI,total_team_steps,exclude_horizon_1,2;3;5;8;12,1,0,66.2,2.52355569253649,3,0,25,equal-weight ideal/Bernoulli mean within each paired trial,pilot/exploratory; selected on the same 25 paired scenarios summarized here
5,PI,total_team_steps,exclude_horizon_1,2;3;5;8;12,2,1,56.12,1.82945347030199,3,0,25,equal-weight ideal/Bernoulli mean within each paired trial,pilot/exploratory; selected on the same 25 paired scenarios summarized here
5,PI,total_team_steps,exclude_horizon_1,2;3;5;8;12,3,1,53.88,2.21176400187723,3,1,25,equal-weight ideal/Bernoulli mean within each paired trial,pilot/exploratory; selected on the same 25 paired scenarios summarized here
5,PI,total_team_steps,exclude_horizon_1,2;3;5;8;12,5,1,55.46,2.67876215194008,3,0,25,equal-weight ideal/Bernoulli mean within each paired trial,pilot/exploratory; selected on the same 25 paired scenarios summarized here
5,PI,total_team_steps,exclude_horizon_1,2;3;5;8;12,8,1,55.46,2.67876215194008,3,0,25,equal-weight ideal/Bernoulli mean within each paired trial,pilot/exploratory; selected on the same 25 paired scenarios summarized here
5,PI,total_team_steps,exclude_horizon_1,2;3;5;8;12,12,1,55.46,2.67876215194008,3,0,25,equal-weight ideal/Bernoulli mean within each paired trial,pilot/exploratory; selected on the same 25 paired scenarios summarized here
10,ACBBA,max_robot_steps,all_horizons,1;2;3;5;8;12,1,1,24.44,0.533322916564939,1,1,25,equal-weight ideal/Bernoulli mean within each paired trial,pilot/exploratory; selected on the same 25 paired scenarios summarized here
10,ACBBA,max_robot_steps,all_horizons,1;2;3;5;8;12,2,1,25,0.660176744011279,1,0,25,equal-weight ideal/Bernoulli mean within each paired trial,pilot/exploratory; selected on the same 25 paired scenarios summarized here
