trial_id,trial_mode,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_count,condition_id,scenario_file,completed_target_count,all_targets_visited,final_target_completion_time_s,final_target_completion_sim_time_s,duplicate_target_visits,target_conflicts,task_cell_revisits_total,total_team_steps,max_robot_steps,unique_cells_visited,system_revisits,task_cell_replans_total,path_replans_total,collision_prevention_events,blocked_task_quarantines_total,blocked_task_quarantine_time_s_total,maximum_quarantine_level,events_processed,stall_recoveries_total,messages_sent_total,messages_delivered_total,messages_dropped_total,protected_messages_sent_total,unprotected_messages_sent_total,core_messages_sent_total,allocation_messages_sent_total,message_drop_fraction,messages_per_completed_target,allocation_messages_per_completed_target,messages_sent_by_topic,workload_gini_targets_found,workload_gini_unique_cells_contributed,allocator_calls_total,allocator_time_ms_team_total,allocator_time_ms_team_max,allocator_solve_time_ms_team_total,allocator_solve_time_ms_team_max,candidate_filter_calls_total,candidate_filter_time_ms_team_total,candidate_filter_time_ms_team_max,trial_status
0,known_visit,HIPC,bernoulli,drop_0.25,19,361,4,5,targets_5_hipc_h3_bernoulli_025,C:\Users\lottj\Desktop\research\decentralized benchmark\commitment-horizon-study\scenarios\known_visit_g19_t5_n25.csv,5,True,44.11479401864045,44.11479401864045,0,0,0,43,26,47,0,1,0,0,0,0.0,0,301,0,109,274,51,44,65,91,18,0.26424870466321243,21.8,3.6,collision_intent:44;hipc_clear_bundle:2;hipc_entry:16;state:47,0.6499999999999999,0.5053191489361701,218,64.4114,0.7509,35.104,0.5482,218,29.3074,0.2686,completed
1,known_visit,HIPC,bernoulli,drop_0.25,19,361,4,5,targets_5_hipc_h3_bernoulli_025,C:\Users\lottj\Desktop\research\decentralized benchmark\commitment-horizon-study\scenarios\known_visit_g19_t5_n25.csv,5,True,26.494001487406607,26.494001487406607,0,0,0,39,16,42,1,0,0,0,0,0.0,0,166,0,97,251,38,41,56,84,13,0.2289156626506024,19.4,2.6,collision_intent:41;hipc_clear_bundle:2;hipc_entry:11;state:43,0.44999999999999996,0.33333333333333326,91,23.2845,0.6438,12.3307,0.4446,91,10.9538,0.2224,completed
2,known_visit,HIPC,bernoulli,drop_0.25,19,361,4,5,targets_5_hipc_h3_bernoulli_025,C:\Users\lottj\Desktop\research\decentralized benchmark\commitment-horizon-study\scenarios\known_visit_g19_t5_n25.csv,5,True,26.577557980058927,26.577557980058927,0,0,0,26,16,30,0,0,0,0,0,0.0,0,183,0,74,189,30,28,46,58,16,0.2222222222222222,14.8,3.2,collision_intent:28;hipc_clear_bundle:2;hipc_entry:14;state:30,0.55,0.46666666666666656,134,37.0134,0.5427,19.9782,0.341,134,17.0352,0.2025,completed
3,known_visit,HIPC,bernoulli,drop_0.25,19,361,4,5,targets_5_hipc_h3_bernoulli_025,C:\Users\lottj\Desktop\research\decentralized benchmark\commitment-horizon-study\scenarios\known_visit_g19_t5_n25.csv,5,True,46.60375609104264,46.60375609104264,0,0,0,42,28,46,0,0,0,0,0,0.0,0,319,0,110,278,50,45,65,91,19,0.25906735751295334,22.0,3.8,collision_intent:45;hipc_clear_bundle:3;hipc_entry:16;state:46,0.44999999999999996,0.44565217391304346,244,48.8529,0.4705,19.8526,0.2496,244,29.0003,0.2416,completed
4,known_visit,HIPC,bernoulli,drop_0.25,19,361,4,5,targets_5_hipc_h3_bernoulli_025,C:\Users\lottj\Desktop\research\decentralized benchmark\commitment-horizon-study\scenarios\known_visit_g19_t5_n25.csv,5,True,47.6613093927905,47.6613093927905,0,0,0,42,28,45,1,2,2,2,0,0.0,0,332,0,120,304,54,46,74,92,28,0.24545454545454545,24.0,5.6,collision_intent:46;hipc_clear_bundle:5;hipc_entry:23;state:46,0.75,0.5166666666666666,246,70.2157,0.7709,38.694,0.5886,246,31.5217,0.2455,completed
5,known_visit,HIPC,bernoulli,drop_0.25,19,361,4,5,targets_5_hipc_h3_bernoulli_025,C:\Users\lottj\Desktop\research\decentralized benchmark\commitment-horizon-study\scenarios\known_visit_g19_t5_n25.csv,5,True,37.20918567557647,37.20918567557647,0,0,0,31,22,35,0,0,0,0,0,0.0,0,262,0,83,202,45,33,50,68,15,0.30405405405405406,16.6,3.0,collision_intent:33;hipc_clear_bundle:2;hipc_entry:13;state:35,0.55,0.5214285714285714,201,55.4259,0.7257,27.6133,0.4908,201,27.8126,0.2353,completed
6,known_visit,HIPC,bernoulli,drop_0.25,19,361,4,5,targets_5_hipc_h3_bernoulli_025,C:\Users\lottj\Desktop\research\decentralized benchmark\commitment-horizon-study\scenarios\known_visit_g19_t5_n25.csv,5,True,46.702013196990066,46.702013196990066,0,0,0,58,28,62,0,1,0,0,0,0.0,0,300,0,143,353,74,61,82,123,20,0.30327868852459017,28.6,4.0,collision_intent:61;hipc_clear_bundle:4;hipc_entry:16;state:62,0.3500000000000001,0.3629032258064515,189,44.048,0.8219,21.9343,0.5821,189,22.1137,0.2398,completed
7,known_visit,HIPC,bernoulli,drop_0.25,19,361,4,5,targets_5_hipc_h3_bernoulli_025,C:\Users\lottj\Desktop\research\decentralized benchmark\commitment-horizon-study\scenarios\known_visit_g19_t5_n25.csv,5,True,46.65845437220103,46.65845437220103,0,0,0,37,23,41,0,0,0,0,0,0.0,0,328,0,94,245,35,39,55,80,14,0.2147239263803681,18.8,2.8,collision_intent:39;hipc_clear_bundle:2;hipc_entry:12;state:41,0.55,0.5060975609756098,259,70.418,0.639,38.4227,0.4469,259,31.9953,0.2511,completed
8,known_visit,HIPC,bernoulli,drop_0.25,19,361,4,5,targets_5_hipc_h3_bernoulli_025,C:\Users\lottj\Desktop\research\decentralized benchmark\commitment-horizon-study\scenarios\known_visit_g19_t5_n25.csv,5,True,47.18903762549952,47.18903762549952,1,1,1,43,28,45,2,0,0,0,0,0.0,0,324,0,109,287,39,45,64,92,17,0.20418848167539266,21.8,3.4,collision_intent:45;hipc_clear_bundle:2;hipc_entry:15;state:47,0.6499999999999999,0.4833333333333334,241,77.5095,0.782,40.2633,0.5742,241,37.2462,0.4537,completed
9,known_visit,HIPC,bernoulli,drop_0.25,19,361,4,5,targets_5_hipc_h3_bernoulli_025,C:\Users\lottj\Desktop\research\decentralized benchmark\commitment-horizon-study\scenarios\known_visit_g19_t5_n25.csv,5,True,31.850260824300193,31.850260824300193,1,1,1,49,19,51,2,0,2,2,0,0.0,0,196,0,118,305,47,52,66,105,13,0.23979591836734693,23.6,2.6,collision_intent:52;hipc_entry:13;state:53,0.55,0.31862745098039214,95,31.722,0.6245,17.241,0.4259,95,14.481,0.2458,completed
