trial_id,trial_mode,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_count,condition_id,scenario_file,target_locations,completed_target_count,all_targets_visited,final_target_completion_time_s,final_target_completion_sim_time_s,targets_found_by_robot,robot_start_locations,robot_end_locations,events_processed,stall_recoveries_total,trial_status
0,known_visit,HIPC,bernoulli,drop_0.25,19,361,4,5,targets_5_hipc_h3_bernoulli_025,C:\Users\lottj\Desktop\research\decentralized benchmark\commitment-horizon-study\scenarios\known_visit_g19_t5_n25.csv,"(10,12);(15,17);(16,5);(18,18);(2,11)",5,True,44.11479401864045,44.11479401864045,00:0;01:1;02:4;03:0,"(0,0);(0,6);(0,12);(0,18)","(0,0);(16,5);(18,18);(0,18)",301,0,completed
1,known_visit,HIPC,bernoulli,drop_0.25,19,361,4,5,targets_5_hipc_h3_bernoulli_025,C:\Users\lottj\Desktop\research\decentralized benchmark\commitment-horizon-study\scenarios\known_visit_g19_t5_n25.csv,"(6,10);(3,16);(7,16);(10,1);(0,8)",5,True,26.494001487406607,26.494001487406607,00:1;01:1;02:0;03:3,"(0,0);(0,6);(0,12);(0,18)","(0,8);(10,1);(0,12);(6,10)",166,0,completed
2,known_visit,HIPC,bernoulli,drop_0.25,19,361,4,5,targets_5_hipc_h3_bernoulli_025,C:\Users\lottj\Desktop\research\decentralized benchmark\commitment-horizon-study\scenarios\known_visit_g19_t5_n25.csv,"(11,5);(9,8);(7,14);(2,13);(6,6)",5,True,26.577557980058927,26.577557980058927,00:0;01:3;02:2;03:0,"(0,0);(0,6);(0,12);(0,18)","(0,0);(11,5);(7,14);(1,18)",183,0,completed
3,known_visit,HIPC,bernoulli,drop_0.25,19,361,4,5,targets_5_hipc_h3_bernoulli_025,C:\Users\lottj\Desktop\research\decentralized benchmark\commitment-horizon-study\scenarios\known_visit_g19_t5_n25.csv,"(17,11);(3,15);(1,18);(7,6);(1,16)",5,True,46.60375609104264,46.60375609104264,00:1;01:1;02:0;03:3,"(0,0);(0,6);(0,12);(0,18)","(17,11);(7,6);(1,12);(3,15)",319,0,completed
4,known_visit,HIPC,bernoulli,drop_0.25,19,361,4,5,targets_5_hipc_h3_bernoulli_025,C:\Users\lottj\Desktop\research\decentralized benchmark\commitment-horizon-study\scenarios\known_visit_g19_t5_n25.csv,"(16,4);(18,8);(10,9);(18,7);(0,7)",5,True,47.6613093927905,47.6613093927905,00:0;01:5;02:0;03:0,"(0,0);(0,6);(0,12);(0,18)","(0,2);(16,4);(7,7);(0,18)",332,0,completed
5,known_visit,HIPC,bernoulli,drop_0.25,19,361,4,5,targets_5_hipc_h3_bernoulli_025,C:\Users\lottj\Desktop\research\decentralized benchmark\commitment-horizon-study\scenarios\known_visit_g19_t5_n25.csv,"(6,13);(13,10);(17,11);(4,4);(3,2)",5,True,37.20918567557647,37.20918567557647,00:2;01:0;02:3;03:0,"(0,0);(0,6);(0,12);(0,18)","(4,4);(1,6);(17,11);(0,18)",262,0,completed
6,known_visit,HIPC,bernoulli,drop_0.25,19,361,4,5,targets_5_hipc_h3_bernoulli_025,C:\Users\lottj\Desktop\research\decentralized benchmark\commitment-horizon-study\scenarios\known_visit_g19_t5_n25.csv,"(5,3);(0,2);(18,10);(4,4);(15,5)",5,True,46.702013196990066,46.702013196990066,00:1;01:2;02:2;03:0,"(0,0);(0,6);(0,12);(0,18)","(0,2);(5,3);(15,5);(18,16)",300,0,completed
7,known_visit,HIPC,bernoulli,drop_0.25,19,361,4,5,targets_5_hipc_h3_bernoulli_025,C:\Users\lottj\Desktop\research\decentralized benchmark\commitment-horizon-study\scenarios\known_visit_g19_t5_n25.csv,"(3,12);(12,6);(11,9);(18,10);(18,11)",5,True,46.65845437220103,46.65845437220103,00:0;01:3;02:2;03:0,"(0,0);(0,6);(0,12);(0,18)","(0,0);(18,11);(11,9);(0,18)",328,0,completed
8,known_visit,HIPC,bernoulli,drop_0.25,19,361,4,5,targets_5_hipc_h3_bernoulli_025,C:\Users\lottj\Desktop\research\decentralized benchmark\commitment-horizon-study\scenarios\known_visit_g19_t5_n25.csv,"(1,9);(5,12);(12,11);(12,3);(8,6)",5,True,47.18903762549952,47.18903762549952,00:0;01:1;02:4;03:0,"(0,0);(0,6);(0,12);(0,18)","(0,0);(2,9);(8,6);(1,9)",324,0,completed
9,known_visit,HIPC,bernoulli,drop_0.25,19,361,4,5,targets_5_hipc_h3_bernoulli_025,C:\Users\lottj\Desktop\research\decentralized benchmark\commitment-horizon-study\scenarios\known_visit_g19_t5_n25.csv,"(11,11);(5,17);(9,14);(0,2);(15,0)",5,True,31.850260824300193,31.850260824300193,00:2;01:0;02:0;03:3,"(0,0);(0,6);(0,12);(0,18)","(15,0);(0,6);(5,17);(11,11)",196,0,completed
10,known_visit,HIPC,bernoulli,drop_0.25,19,361,4,5,targets_5_hipc_h3_bernoulli_025,C:\Users\lottj\Desktop\research\decentralized benchmark\commitment-horizon-study\scenarios\known_visit_g19_t5_n25.csv,"(4,6);(17,7);(6,4);(2,9);(5,2)",5,True,50.56744405123775,50.56744405123775,00:0;01:4;02:1;03:0,"(0,0);(0,6);(0,12);(0,18)","(0,0);(17,7);(2,9);(1,18)",361,0,completed
11,known_visit,HIPC,bernoulli,drop_0.25,19,361,4,5,targets_5_hipc_h3_bernoulli_025,C:\Users\lottj\Desktop\research\decentralized benchmark\commitment-horizon-study\scenarios\known_visit_g19_t5_n25.csv,"(2,12);(0,8);(5,10);(2,1);(18,8)",5,True,36.620692781218644,36.620692781218644,00:1;01:1;02:3;03:0,"(0,0);(0,6);(0,12);(0,18)","(2,1);(0,8);(18,8);(0,18)",262,0,completed
12,known_visit,HIPC,bernoulli,drop_0.25,19,361,4,5,targets_5_hipc_h3_bernoulli_025,C:\Users\lottj\Desktop\research\decentralized benchmark\commitment-horizon-study\scenarios\known_visit_g19_t5_n25.csv,"(16,3);(2,14);(18,11);(0,2);(3,2)",5,True,49.156005302804196,49.156005302804196,00:4;01:0;02:1;03:0,"(0,0);(0,6);(0,12);(0,18)","(18,11);(9,2);(2,14);(0,18)",335,0,completed
13,known_visit,HIPC,bernoulli,drop_0.25,19,361,4,5,targets_5_hipc_h3_bernoulli_025,C:\Users\lottj\Desktop\research\decentralized benchmark\commitment-horizon-study\scenarios\known_visit_g19_t5_n25.csv,"(0,8);(16,15);(6,9);(3,2);(8,8)",5,True,46.30429425197672,46.30429425197672,00:1;01:4;02:0;03:0,"(0,0);(0,6);(0,12);(0,18)","(7,8);(16,15);(0,4);(0,16)",292,0,completed
14,known_visit,HIPC,bernoulli,drop_0.25,19,361,4,5,targets_5_hipc_h3_bernoulli_025,C:\Users\lottj\Desktop\research\decentralized benchmark\commitment-horizon-study\scenarios\known_visit_g19_t5_n25.csv,"(13,10);(10,18);(17,7);(16,7);(16,5)",5,True,46.39360384463042,46.39360384463042,00:0;01:4;02:0;03:1,"(0,0);(0,6);(0,12);(0,18)","(0,0);(16,5);(0,12);(13,13)",316,0,completed
15,known_visit,HIPC,bernoulli,drop_0.25,19,361,4,5,targets_5_hipc_h3_bernoulli_025,C:\Users\lottj\Desktop\research\decentralized benchmark\commitment-horizon-study\scenarios\known_visit_g19_t5_n25.csv,"(6,10);(15,0);(6,6);(16,9);(17,18)",5,True,48.500696702993885,48.500696702993885,00:1;01:1;02:3;03:0,"(0,0);(0,6);(0,12);(0,18)","(15,0);(16,8);(17,18);(7,18)",299,0,completed
