algorithm,target_count,comm_label,horizon,sample_size,mean_effort,mean_makespan,Q_effort,Q_makespan,divergence_pct_points
ACBBA,10,ideal,1,300,80.93,23.41,1,1,0
ACBBA,10,ideal,2,300,72.3333333333333,23.8933333333333,0.893776514683471,1.02064644738716,12.6869932703685
ACBBA,10,ideal,3,300,69.8066666666667,25.43,0.862556118456279,1.08628791114908,22.3731792692802
ACBBA,10,ideal,5,300,68.1033333333333,28.7033333333333,0.841509123110507,1.22611419621244,38.4605073101938
ACBBA,10,ideal,8,300,66.15,32.25,0.817373038428271,1.37761640324648,56.0243364818205
ACBBA,10,ideal,12,300,65.56,34.0866666666667,0.810082787594217,1.45607290331767,64.5990115723453
ACBBA,10,bernoulli_025,1,300,96.8966666666667,25.87,1,1,0
ACBBA,10,bernoulli_025,2,300,94.3666666666667,26.5933333333333,0.973889710688362,1.02796031439248,5.4070603704113
ACBBA,10,bernoulli_025,3,300,99.98,29.9533333333333,1.03182084007018,1.15784048447365,12.6019644403472
ACBBA,10,bernoulli_025,5,300,103.976666666667,33.2066666666667,1.07306752898277,1.28359747455225,21.0529945569483
ACBBA,10,bernoulli_025,8,300,106.61,34.5433333333333,1.10024424644811,1.33526607395954,23.5021827511435
ACBBA,10,bernoulli_025,12,300,107.973333333333,34.5566666666667,1.11431421789535,1.33578147145986,22.1467253564511
HIPC,10,ideal,1,300,77.7533333333333,23.3233333333333,1,1,0
HIPC,10,ideal,2,300,67.47,24.49,0.867744148160851,1.05002143775904,18.2277289598189
HIPC,10,ideal,3,300,61.5233333333333,26.5733333333333,0.791262968361485,1.13934543375732,34.808246539584
HIPC,10,ideal,5,300,54.9966666666667,32.6666666666667,0.707322301294693,1.40060025725311,69.3277955958416
HIPC,10,ideal,8,300,54.0066666666667,36.88,0.694589728200292,1.58124910676004,88.6659378559748
HIPC,10,ideal,12,300,53.0666666666667,39.08,0.682500214353083,1.67557524653423,99.3075032181146
HIPC,10,bernoulli_025,1,300,87.7166666666667,24.4733333333333,1,1,0
HIPC,10,bernoulli_025,2,300,78.8966666666667,25.0833333333333,0.899448983469504,1.02492508853174,12.5476105062231
HIPC,10,bernoulli_025,3,300,71.5433333333333,27.36,0.815618468554057,1.11795151184963,30.2333043295576
HIPC,10,bernoulli_025,5,300,66.6066666666667,32.29,0.759338780163405,1.3193952601471,56.0056479983694
HIPC,10,bernoulli_025,8,300,65.81,36.0966666666667,0.750256507695231,1.47493870879869,72.4682201103462
HIPC,10,bernoulli_025,12,300,65.7366666666667,37.63,0.749420482614478,1.53759193680196,78.8171454187483
PI,10,ideal,1,300,80.4933333333333,23.5066666666667,1,1,0
PI,10,ideal,2,300,72.5433333333333,26.11,0.901234056650654,1.11074872376631,20.9514667115653
PI,10,ideal,3,300,66.33,27.7,0.824043399039258,1.17838910947249,35.4345710433232
PI,10,ideal,5,300,63.2633333333333,34.3933333333333,0.785945005797582,1.4631310266591,67.7186020861522
PI,10,ideal,8,300,62.86,36.5966666666667,0.780934238860361,1.55686330119115,77.592906233079
PI,10,ideal,12,300,61.9666666666667,45.6833333333333,0.769836011263873,1.94342030629609,117.358429503221
PI,10,bernoulli_025,1,300,106.846666666667,28.16,1,1,0
PI,10,bernoulli_025,2,300,102.943333333333,28.9033333333333,0.963467897922256,1.02639678030303,6.29288823807741
PI,10,bernoulli_025,3,300,108.193333333333,33.8633333333333,1.01260373120359,1.20253314393939,18.99294127358
PI,10,bernoulli_025,5,300,107.003333333333,36.82,1.00146627565982,1.30752840909091,30.6062133431085
PI,10,bernoulli_025,8,300,110.126666666667,40.2566666666667,1.03069819679291,1.42956912878788,39.8870931994967
PI,10,bernoulli_025,12,300,110.386666666667,40.9866666666667,1.03313159044113,1.45549242424242,42.2360833801293
