algorithm,target_count,comm_label,horizon,sample_size,mean_effort,mean_makespan,Q_effort,Q_makespan,divergence_pct_points
HIPC,10,ideal,2,25,66.44,24.4,0.865554976550287,1.06086956521739,19.5314588667105
HIPC,10,ideal,3,25,60.32,25.24,0.785825951016154,1.09739130434783,31.1565353331672
HIPC,10,ideal,5,25,53.72,30.68,0.699843668577384,1.33391304347826,63.4069374900877
HIPC,10,ideal,8,25,52.36,33.96,0.682126107347577,1.47652173913043,79.4395631782858
HIPC,10,ideal,12,25,51.88,35.2,0.675872850442939,1.5304347826087,85.4561932165757
HIPC,10,bernoulli_025,1,25,86.2,24.4,1,1,0
HIPC,10,bernoulli_025,2,25,79.56,25.24,0.922969837587007,1.0344262295082,11.145639192119
HIPC,10,bernoulli_025,3,25,73.96,28.44,0.85800464037123,1.1655737704918,30.7569130120574
HIPC,10,bernoulli_025,5,25,64.28,30.4,0.745707656612529,1.24590163934426,50.0193982731733
HIPC,10,bernoulli_025,8,25,65.32,34.96,0.757772621809745,1.4327868852459,67.5014263436157
HIPC,10,bernoulli_025,12,25,63.72,37.04,0.739211136890951,1.51803278688525,77.8821649994295
HIPC,20,ideal,1,25,102.64,28.88,1,1,0
HIPC,20,ideal,2,25,95.68,29.12,0.932190179267342,1.00831024930748,7.61200700401371
HIPC,20,ideal,3,25,90.68,30.56,0.883476227591582,1.05817174515235,17.4695517560772
HIPC,20,ideal,5,25,88.64,36.12,0.863600935307872,1.25069252077562,38.7091585467751
HIPC,20,ideal,8,25,80.88,41.92,0.787996882307093,1.45152354570637,66.3526663399279
HIPC,20,ideal,12,25,80.24,47.32,0.781761496492595,1.63850415512465,85.6742658632058
HIPC,20,bernoulli_025,1,25,125.64,32.52,1,1,0
HIPC,20,bernoulli_025,2,25,136,36.96,1.08245781598217,1.13653136531365,5.40735493314819
HIPC,20,bernoulli_025,3,25,123.6,33.36,0.983763132760267,1.02583025830258,4.20671255423155
HIPC,20,bernoulli_025,5,25,118.28,37.08,0.941419929958612,1.14022140221402,19.880147225541
HIPC,20,bernoulli_025,8,25,112.2,39.56,0.893027698185291,1.21648216482165,32.3454466636357
HIPC,20,bernoulli_025,12,25,108.4,44.48,0.862782553326966,1.36777367773678,50.4991124409811
PI,5,ideal,1,25,56.84,19.56,1,1,0
PI,5,ideal,2,25,44.8,23.16,0.788177339901478,1.1840490797546,39.5871739853124
PI,5,ideal,3,25,43.12,26.36,0.758620689655172,1.34764826175869,58.9027572103519
PI,5,ideal,5,25,40.32,31.6,0.70935960591133,1.61554192229039,90.6182316379059
PI,5,ideal,8,25,40.32,31.6,0.70935960591133,1.61554192229039,90.6182316379059
PI,5,ideal,12,25,40.32,31.6,0.70935960591133,1.61554192229039,90.6182316379059
PI,5,bernoulli_025,1,25,75.56,21.4,1,1,0
PI,5,bernoulli_025,2,25,67.44,22.64,0.892535733192165,1.05794392523364,16.540819204148
PI,5,bernoulli_025,3,25,64.64,26.92,0.855479089465326,1.25794392523365,40.2464835768319
PI,5,bernoulli_025,5,25,70.6,34.04,0.934356802541027,1.59065420560748,65.629740306645
PI,5,bernoulli_025,8,25,70.6,34.04,0.934356802541027,1.59065420560748,65.629740306645
PI,5,bernoulli_025,12,25,70.6,34.04,0.934356802541027,1.59065420560748,65.629740306645
PI,10,ideal,1,25,78.88,22.96,1,1,0
PI,10,ideal,2,25,72.84,25.96,0.92342799188641,1.13066202090592,20.7234029019513
PI,10,ideal,3,25,65.16,26.68,0.82606490872211,1.16202090592334,33.5955997201235
PI,10,ideal,5,25,62.2,35.16,0.788539553752536,1.53135888501742,74.2819331264886
PI,10,ideal,8,25,62.84,33.44,0.796653144016227,1.45644599303136,65.9792849015132
PI,10,ideal,12,25,60.4,44.8,0.765720081135903,1.95121951219512,118.549943105922
PI,10,bernoulli_025,1,25,100.04,25.8,1,1,0
PI,10,bernoulli_025,2,25,98.24,27.28,0.982007197121151,1.05736434108527,7.53571439641199
PI,10,bernoulli_025,3,25,111.68,33.08,1.11635345861655,1.28217054263566,16.5817084019106
PI,10,bernoulli_025,5,25,105.08,34.48,1.05037984806078,1.33643410852713,28.6054260466356
PI,10,bernoulli_025,8,25,105.44,36.92,1.05397840863655,1.43100775193798,37.7029343301439
PI,10,bernoulli_025,12,25,108.92,41.84,1.08876449420232,1.62170542635659,53.294093215427
PI,20,ideal,1,25,108.28,29.44,1,1,0
PI,20,ideal,2,25,102.88,31.36,0.950129294421869,1.06521739130435,11.5088096882478
PI,20,ideal,3,25,100.32,32.88,0.926486885851496,1.11684782608696,19.036094023546
PI,20,ideal,5,25,96.08,34.28,0.887329146656816,1.16440217391304,27.7073027256228
PI,20,ideal,8,25,89.76,39.08,0.828961950498707,1.32744565217391,49.8483701675206
PI,20,ideal,12,25,89.8,45.04,0.829331363132619,1.52989130434783,70.0559941215207
PI,20,bernoulli_025,1,25,147.52,38,1,1,0
PI,20,bernoulli_025,2,25,145.88,37.8,0.988882863340564,0.994736842105263,0.585397876469917
PI,20,bernoulli_025,3,25,146.04,39.36,0.989967462039045,1.03578947368421,4.58220116451652
PI,20,bernoulli_025,5,25,163.72,49.32,1.10981561822126,1.29789473684211,18.8079118620847
PI,20,bernoulli_025,8,25,177.52,57.48,1.20336225596529,1.51263157894737,30.9269322982076
PI,20,bernoulli_025,12,25,176.52,56.12,1.19658351409978,1.47684210526316,28.0258591163375
