algorithm,objective,comm_label,B,n,change_from_B1_pct,ci95_lower,ci95_upper
PI,MiniSum,ideal,3,300,-17.5956600960742,-18.8939997710399,-16.3014111143849
PI,MiniSum,ideal,5,300,-21.4054994202418,-22.7611632673268,-20.030102239308
PI,MiniSum,ideal,8,300,-21.9065761139639,-23.2610989632928,-20.5240179737565
PI,MiniSum,ideal,12,300,-23.0163988736127,-24.4647380572304,-21.5257304942974
PI,MiniSum,bernoulli_025,1,300,0,0,0
PI,MiniSum,bernoulli_025,2,300,-3.65321020777438,-6.25635338693281,-0.984827059294963
PI,MiniSum,bernoulli_025,3,300,1.26037312035938,-1.58649525856603,4.17874842773244
PI,MiniSum,bernoulli_025,5,300,0.146627565982405,-2.74713315207822,3.18820766687736
PI,MiniSum,bernoulli_025,8,300,3.06981967929121,0.00619158989569879,6.15517875324906
PI,MiniSum,bernoulli_025,12,300,3.31315904411307,0.322029834346638,6.38710165689083
PI,MiniMax,ideal,1,300,0,0,0
PI,MiniMax,ideal,2,300,11.0748723766307,8.78879993037647,13.3867234546573
PI,MiniMax,ideal,3,300,17.838910947249,15.1881806882937,20.5773626223351
PI,MiniMax,ideal,5,300,46.3131026659104,42.6530624373213,49.9928764688769
PI,MiniMax,ideal,8,300,55.6863301191151,51.5530578922312,59.9373799109514
PI,MiniMax,ideal,12,300,94.3420306296086,88.6617107738537,100.126796441713
PI,MiniMax,bernoulli_025,1,300,0,0,0
PI,MiniMax,bernoulli_025,2,300,2.63967803030303,-0.476274454864156,5.82967782446304
PI,MiniMax,bernoulli_025,3,300,20.2533143939394,16.1502829910113,24.5296551865845
PI,MiniMax,bernoulli_025,5,300,30.7528409090909,26.4079730388822,35.2525208351979
PI,MiniMax,bernoulli_025,8,300,42.9569128787879,37.775309405194,48.4640461430364
PI,MiniMax,bernoulli_025,12,300,45.5492424242424,40.4913405308142,50.7354315044166
