algorithm,objective,comm_label,B,n,change_from_B1_pct,ci95_lower,ci95_upper
ACBBA,MiniSum,ideal,1,300,0,0,0
ACBBA,MiniSum,ideal,2,300,-10.6223485316529,-11.7771151557578,-9.46987088231435
ACBBA,MiniSum,ideal,3,300,-13.7443881543721,-15.012906549666,-12.4404769985817
ACBBA,MiniSum,ideal,5,300,-15.8490876889493,-17.2892757485805,-14.3933329431784
ACBBA,MiniSum,ideal,8,300,-18.2626961571729,-19.8461698947806,-16.6746148184948
ACBBA,MiniSum,ideal,12,300,-18.9917212405783,-20.6350171978594,-17.2985486245206
ACBBA,MiniSum,bernoulli_025,1,300,0,0,0
ACBBA,MiniSum,bernoulli_025,2,300,-2.61102893116378,-4.79530040089622,-0.364248117813887
ACBBA,MiniSum,bernoulli_025,3,300,3.1820840070178,0.620655712389617,5.85182586893098
ACBBA,MiniSum,bernoulli_025,5,300,7.30675289827654,4.58652952696854,10.0660122477068
ACBBA,MiniSum,bernoulli_025,8,300,10.0244246448106,7.23303834226433,12.8793961201738
ACBBA,MiniSum,bernoulli_025,12,300,11.4314217895352,8.3776857847318,14.6289010762608
ACBBA,MiniMax,ideal,1,300,0,0,0
ACBBA,MiniMax,ideal,2,300,2.06464473871566,0.399885755085727,3.72803624119161
ACBBA,MiniMax,ideal,3,300,8.62879111490815,6.50833041201134,10.7931256308279
ACBBA,MiniMax,ideal,5,300,22.6114196212445,19.5425133330168,25.7375541556961
ACBBA,MiniMax,ideal,8,300,37.7616403246476,33.4286532890956,42.0861182592458
ACBBA,MiniMax,ideal,12,300,45.607290331767,40.833510562881,50.3736875928314
ACBBA,MiniMax,bernoulli_025,1,300,0,0,0
ACBBA,MiniMax,bernoulli_025,2,300,2.79603143924751,0.115104240808839,5.53093799683294
ACBBA,MiniMax,bernoulli_025,3,300,15.784048447365,12.4759704710564,19.2615845287973
ACBBA,MiniMax,bernoulli_025,5,300,28.3597474552248,24.4398659291969,32.4740604185426
ACBBA,MiniMax,bernoulli_025,8,300,33.5266073959541,29.3481734130955,37.8164871711113
ACBBA,MiniMax,bernoulli_025,12,300,33.5781471459863,29.4259846080094,37.9843978965926
HIPC,MiniSum,ideal,1,300,0,0,0
HIPC,MiniSum,ideal,2,300,-13.2255851839149,-14.1930201335211,-12.2560584575943
HIPC,MiniSum,ideal,3,300,-20.8737031638515,-21.9498204594945,-19.7828752364566
HIPC,MiniSum,ideal,5,300,-29.2677698705307,-30.2818854426274,-28.2461629092442
HIPC,MiniSum,ideal,8,300,-30.5410271799708,-31.7109901695537,-29.3285693476038
HIPC,MiniSum,ideal,12,300,-31.7499785646918,-32.8399713791796,-30.6464912112231
HIPC,MiniSum,bernoulli_025,1,300,0,0,0
HIPC,MiniSum,bernoulli_025,2,300,-10.0551016530496,-11.7686895669514,-8.27375704592507
HIPC,MiniSum,bernoulli_025,3,300,-18.4381531445943,-20.2118527548595,-16.5605425918276
HIPC,MiniSum,bernoulli_025,5,300,-24.0661219836595,-25.8670195341269,-22.2072091865312
HIPC,MiniSum,bernoulli_025,8,300,-24.9743492304769,-26.7910115476452,-23.1312752221104
HIPC,MiniSum,bernoulli_025,12,300,-25.0579517385522,-26.9678386054758,-23.1202169128689
HIPC,MiniMax,ideal,1,300,0,0,0
HIPC,MiniMax,ideal,2,300,5.00214377590396,3.30437206773196,6.74917600287086
HIPC,MiniMax,ideal,3,300,13.9345433757325,11.6054943913458,16.3075595442845
HIPC,MiniMax,ideal,5,300,40.0600257253108,36.6996121804079,43.5849358170193
HIPC,MiniMax,ideal,8,300,58.124910676004,53.9888661886937,62.3910918659586
HIPC,MiniMax,ideal,12,300,67.5575246534229,62.873012800535,72.44133656829
HIPC,MiniMax,bernoulli_025,1,300,0,0,0
HIPC,MiniMax,bernoulli_025,2,300,2.49250885317351,0.418947243380119,4.59554965792678
HIPC,MiniMax,bernoulli_025,3,300,11.7951511849632,9.06442559958231,14.6400103124111
HIPC,MiniMax,bernoulli_025,5,300,31.9395260147099,28.7186119315499,35.2249462597215
HIPC,MiniMax,bernoulli_025,8,300,47.4938708798692,43.2791446717591,51.8191752691696
HIPC,MiniMax,bernoulli_025,12,300,53.7591936801961,49.0387200686691,58.5607132221561
PI,MiniSum,ideal,1,300,0,0,0
PI,MiniSum,ideal,2,300,-9.87659433493457,-11.1575123121339,-8.59646899637771
