trial_id,trial_mode,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_count,condition_id,scenario_file,completed_target_count,all_targets_visited,final_target_completion_time_s,final_target_completion_sim_time_s,duplicate_target_visits,target_conflicts,task_cell_revisits_total,total_team_steps,max_robot_steps,unique_cells_visited,system_revisits,task_cell_replans_total,path_replans_total,collision_prevention_events,blocked_task_quarantines_total,blocked_task_quarantine_time_s_total,maximum_quarantine_level,events_processed,stall_recoveries_total,messages_sent_total,messages_delivered_total,messages_dropped_total,protected_messages_sent_total,unprotected_messages_sent_total,core_messages_sent_total,allocation_messages_sent_total,message_drop_fraction,messages_per_completed_target,allocation_messages_per_completed_target,messages_sent_by_topic,workload_gini_targets_found,workload_gini_unique_cells_contributed,allocator_calls_total,allocator_time_ms_team_total,allocator_time_ms_team_max,allocator_solve_time_ms_team_total,allocator_solve_time_ms_team_max,candidate_filter_calls_total,candidate_filter_time_ms_team_total,candidate_filter_time_ms_team_max,trial_status
0,known_visit,HIPC,ideal,1.0,19,361,4,20,targets_20_hipc_h12_ideal,C:\Users\lottj\Desktop\research\decentralized benchmark\commitment-horizon-study\scenarios\known_visit_g19_t20_n25.csv,20,True,107.64412751532807,107.64412751532807,0,0,0,88,62,90,2,0,0,0,0,0.0,0,750,0,318,951,0,91,227,183,135,0.0,15.9,6.75,collision_intent:91;hipc_clear_bundle:3;hipc_entry:132;state:92,0.5,0.48888888888888893,591,651.028,14.6463,500.8718,10.1826,591,150.1562,4.6601,completed
1,known_visit,HIPC,ideal,1.0,19,361,4,20,targets_20_hipc_h12_ideal,C:\Users\lottj\Desktop\research\decentralized benchmark\commitment-horizon-study\scenarios\known_visit_g19_t20_n25.csv,20,True,64.99147936572673,64.99147936572673,0,0,0,66,37,69,1,0,0,0,0,0.0,0,447,0,224,669,0,69,155,139,85,0.0,11.2,4.25,collision_intent:69;hipc_clear_bundle:3;hipc_entry:82;state:70,0.25,0.37318840579710155,332,266.2008,10.1925,200.4708,9.7811,332,65.73,0.5117,completed
2,known_visit,HIPC,ideal,1.0,19,361,4,20,targets_20_hipc_h12_ideal,C:\Users\lottj\Desktop\research\decentralized benchmark\commitment-horizon-study\scenarios\known_visit_g19_t20_n25.csv,20,True,60.878258001622925,60.878258001622925,0,0,0,72,35,76,0,1,0,0,0,0.0,0,401,0,265,792,0,74,191,150,115,0.0,13.25,5.75,collision_intent:74;hipc_clear_bundle:3;hipc_entry:112;state:76,0.3999999999999999,0.42105263157894735,271,454.8215,10.5607,388.881,10.1193,271,65.9405,0.4932,completed
3,known_visit,HIPC,ideal,1.0,19,361,4,20,targets_20_hipc_h12_ideal,C:\Users\lottj\Desktop\research\decentralized benchmark\commitment-horizon-study\scenarios\known_visit_g19_t20_n25.csv,20,True,87.78528204218632,87.78528204218632,0,0,0,75,50,79,0,0,0,0,0,0.0,0,606,0,303,906,0,78,225,157,146,0.0,15.15,7.3,collision_intent:78;hipc_clear_bundle:3;hipc_entry:143;state:79,0.3999999999999999,0.509493670886076,470,619.4265,7.4341,524.3532,6.9804,470,95.0733,0.5657,completed
4,known_visit,HIPC,ideal,1.0,19,361,4,20,targets_20_hipc_h12_ideal,C:\Users\lottj\Desktop\research\decentralized benchmark\commitment-horizon-study\scenarios\known_visit_g19_t20_n25.csv,20,True,93.41805435214468,93.41805435214468,0,0,0,78,53,82,0,0,0,0,0,0.0,0,653,0,301,900,0,81,220,163,138,0.0,15.05,6.9,collision_intent:81;hipc_clear_bundle:4;hipc_entry:134;state:82,0.3999999999999999,0.4817073170731707,507,353.1464,6.1216,276.5736,5.8597,507,76.5728,0.2803,completed
5,known_visit,HIPC,ideal,1.0,19,361,4,20,targets_20_hipc_h12_ideal,C:\Users\lottj\Desktop\research\decentralized benchmark\commitment-horizon-study\scenarios\known_visit_g19_t20_n25.csv,20,True,101.02212971534152,101.02212971534152,0,0,0,92,57,96,0,2,3,2,1,5.0,1,702,0,389,1164,0,98,291,194,195,0.0,19.45,9.75,collision_intent:98;hipc_clear_bundle:6;hipc_entry:189;state:96,0.625,0.390625,521,744.4772,6.2075,621.7678,5.6419,521,122.7094,0.5656,completed
6,known_visit,HIPC,ideal,1.0,19,361,4,20,targets_20_hipc_h12_ideal,C:\Users\lottj\Desktop\research\decentralized benchmark\commitment-horizon-study\scenarios\known_visit_g19_t20_n25.csv,20,True,92.95861197183753,92.95861197183753,0,0,0,89,52,93,0,0,0,0,0,0.0,0,637,0,340,1017,0,92,248,185,155,0.0,17.0,7.75,collision_intent:92;hipc_clear_bundle:3;hipc_entry:152;state:93,0.575,0.48118279569892475,467,778.975,8.7003,666.3303,8.3219,467,112.6447,0.6343,completed
7,known_visit,HIPC,ideal,1.0,19,361,4,20,targets_20_hipc_h12_ideal,C:\Users\lottj\Desktop\research\decentralized benchmark\commitment-horizon-study\scenarios\known_visit_g19_t20_n25.csv,20,True,80.9070510253738,80.9070510253738,0,0,0,86,46,90,0,0,0,0,0,0.0,0,543,0,301,900,0,88,213,178,123,0.0,15.05,6.15,collision_intent:88;hipc_clear_bundle:3;hipc_entry:120;state:90,0.5,0.47777777777777786,380,1039.9528,11.1334,939.4279,10.6672,380,100.5249,0.6374,completed
8,known_visit,HIPC,ideal,1.0,19,361,4,20,targets_20_hipc_h12_ideal,C:\Users\lottj\Desktop\research\decentralized benchmark\commitment-horizon-study\scenarios\known_visit_g19_t20_n25.csv,20,True,68.14719079966873,68.14719079966873,0,0,0,70,40,74,0,1,0,0,0,0.0,0,459,0,277,828,0,73,204,147,130,0.0,13.85,6.5,collision_intent:73;hipc_clear_bundle:4;hipc_entry:126;state:74,0.42500000000000004,0.45945945945945943,336,539.617,9.6968,455.8223,9.285,336,83.7947,0.4118,completed
9,known_visit,HIPC,ideal,1.0,19,361,4,20,targets_20_hipc_h12_ideal,C:\Users\lottj\Desktop\research\decentralized benchmark\commitment-horizon-study\scenarios\known_visit_g19_t20_n25.csv,20,True,92.50996802200106,92.50996802200106,0,0,0,84,53,87,1,0,0,0,0,0.0,0,635,0,319,954,0,87,232,175,144,0.0,15.95,7.2,collision_intent:87;hipc_clear_bundle:3;hipc_entry:141;state:88,0.4750000000000001,0.46264367816091956,483,626.1899,9.9192,516.6478,9.5266,483,109.5421,0.4159,completed
10,known_visit,HIPC,ideal,1.0,19,361,4,20,targets_20_hipc_h12_ideal,C:\Users\lottj\Desktop\research\decentralized benchmark\commitment-horizon-study\scenarios\known_visit_g19_t20_n25.csv,20,True,94.16616807469386,94.16616807469386,0,0,0,80,54,83,1,0,0,0,0,0.0,0,653,0,315,942,0,83,232,167,148,0.0,15.75,7.4,collision_intent:83;hipc_clear_bundle:3;hipc_entry:145;state:84,0.5,0.4849397590361446,511,489.2708,11.545,374.8314,11.0776,511,114.4394,0.4918,completed
11,known_visit,HIPC,ideal,1.0,19,361,4,20,targets_20_hipc_h12_ideal,C:\Users\lottj\Desktop\research\decentralized benchmark\commitment-horizon-study\scenarios\known_visit_g19_t20_n25.csv,20,True,87.62101608928052,87.62101608928052,0,0,0,82,50,86,0,1,0,0,0,0.0,0,600,0,329,984,0,85,244,171,158,0.0,16.45,7.9,collision_intent:85;hipc_clear_bundle:4;hipc_entry:154;state:86,0.625,0.5232558139534884,447,837.9441,9.4398,735.4159,9.0498,447,102.5282,0.4264,completed
12,known_visit,HIPC,ideal,1.0,19,361,4,20,targets_20_hipc_h12_ideal,C:\Users\lottj\Desktop\research\decentralized benchmark\commitment-horizon-study\scenarios\known_visit_g19_t20_n25.csv,20,True,85.48858200614048,85.48858200614048,0,0,0,82,49,86,0,0,0,0,0,0.0,0,583,0,277,828,0,85,192,171,106,0.0,13.85,5.3,collision_intent:85;hipc_clear_bundle:3;hipc_entry:103;state:86,0.42500000000000004,0.4651162790697674,434,598.1565,11.9214,496.6968,11.4282,434,101.4597,0.4932,completed
13,known_visit,HIPC,ideal,1.0,19,361,4,20,targets_20_hipc_h12_ideal,C:\Users\lottj\Desktop\research\decentralized benchmark\commitment-horizon-study\scenarios\known_visit_g19_t20_n25.csv,20,True,106.34571217849296,106.34571217849296,2,2,2,89,62,88,5,0,0,0,0,0.0,0,738,0,299,894,0,92,207,185,114,0.0,14.95,5.7,collision_intent:92;hipc_clear_bundle:3;hipc_entry:111;state:93,0.42500000000000004,0.5454545454545454,578,812.7343,9.9911,671.1658,9.5799,578,141.5685,0.4298,completed
14,known_visit,HIPC,ideal,1.0,19,361,4,20,targets_20_hipc_h12_ideal,C:\Users\lottj\Desktop\research\decentralized benchmark\commitment-horizon-study\scenarios\known_visit_g19_t20_n25.csv,20,True,74.13559633339736,74.13559633339736,0,0,0,76,42,80,0,0,0,0,0,0.0,0,500,0,277,828,0,79,198,159,118,0.0,13.85,5.9,collision_intent:79;hipc_clear_bundle:3;hipc_entry:115;state:80,0.5,0.48124999999999996,360,798.9428,11.2864,717.0425,10.827,360,81.9003,0.5789,completed
