path,size_bytes,sha256
.gitattributes,141,5560ad8d7604fcca60539dad248ca05e8d1a45a511284b457f49c575a5b5728a
.github/workflows/reproducibility.yml,688,acf83cbf89fa704139d5832118d05bdbae26a3b390979ac1babb1eeff04e0fda
.gitignore,154,cf8b987618e7cf1019c26a29fc9c8e8c73140a5236679e809e97d4996118f1c2
LICENSE,1067,9ef88ffa3e24cdb73fc69936887647b972f2f17322645a9eaba046576c962156
README.md,4854,ba460a59e91da069ca6f02177fc29ae943b7df3e727808c130ad8bdd6472dbbc
SOURCE_PROVENANCE.md,1200,e7ee41152b1d60cd6a3c04b56dddf7a43ba9ce92eddea0c50b25afb42eab88c5
analysis/analyze_target_load_horizon_pilot.m,74679,2ae6efa8f3f42def798d6490022577d0e5dfb1bce676f28b8ea979440a40f289
analysis/build_commitment_tuning_paper_figures.m,17068,37813bd0628b94ab9a8d98dd798bd39d7cb1739a324b59ee06d41b35fdbe373a
analysis/figures/pilot_algorithm_rankings.fig,47831,3d60c83ac952a4e5b119131419a433efbcc2418c058f31be844a4656bf053f0e
analysis/figures/pilot_algorithm_rankings.png,440976,5a7162418a898bd72b2207a2dd425b34af219228c0243bf5a9c627b71f6fa9ff
analysis/figures/pilot_makespan_by_horizon.fig,27140,88430274b06aaa9c750b1a7e4e3e4b01fc1b8e9cded724633c9843e3f2b2018f
analysis/figures/pilot_makespan_by_horizon.png,622259,d9134184fd3d5752335876887681e40821a8d42d7b7951a6ed1fa4478af7177b
analysis/figures/pilot_makespan_transfer_penalty.fig,23193,3c7a39335294b57858acfe39738f763ebacb8289d547436e8edccb0da48055c3
analysis/figures/pilot_makespan_transfer_penalty.png,384224,bdd6692d114a58366046a882818b94a28deff23605fffc2f6e2a0659f9dc469c
analysis/figures/pilot_mechanism_changes.fig,70099,883adf4e2ed31f0d3f6c8cf16f2605fbf5fa9be959323678e52dee6d6dc144c5
analysis/figures/pilot_mechanism_changes.png,603091,a1ad35348777109834018de2d051c43f3d3b29b496d437c6bf319e63bc28a942
analysis/figures/pilot_total_team_steps_by_horizon.fig,27168,359456f8b93d1edd0208e388cb045d9f8426fb6aaa781dbfa728a5c0ef030246
analysis/figures/pilot_total_team_steps_by_horizon.png,609295,0c8481501ca070299d340df8f0e9acac93d61f45aa6c0c9def1357cca47cdef9
analysis/helpers/pilot_horizon_holm_adjust.m,622,670e1530bd28f5888ebe4bba74ad750b3f28551b56be535eca163f4ecbb727e8
analysis/helpers/pilot_horizon_percentile.m,600,12bcfdc55624615de6edf0a97bae117b5e00c0714a483b8b9e30bd86dd59d384
analysis/helpers/pilot_horizon_rank_biserial.m,1089,49e945e6f1af3d1fdb041f71106dd69f1127882a968554f7476a2b32cdaf6dcc
analysis/paper_figures/cv_objective_response_surfaces.fig,30683,bb037ecbe7c733d12f70fdd616e968eee2f78da458159bababe334539a5d7047
analysis/paper_figures/cv_objective_response_surfaces.pdf,21692,dc25de4d4266939ef7ff9f2a3b9495a04d9bc81cba5919cf48d1e95c1339cf11
analysis/paper_figures/cv_objective_response_surfaces.png,101594,6d56fed0a2f70678806366ae92ece724e60176d4fe253b7a27cfd6c54b292b1b
analysis/paper_figures/figure_generation_validation.txt,1876,74be9569d05353067776819c00b2009f8c0cfe8b651563efcef6b374ba3ac480
analysis/paper_figures/target_load_makespan_penalty.fig,17314,c10e957e2f376e9dd82ec4299961eef51d3429ace96528076ab19f2b0e4f3cf7
analysis/paper_figures/target_load_makespan_penalty.pdf,16871,1a51e2e6c622ef4ddb0a04bd938656229746e1cab0c4dec11d301625d6600b8e
analysis/paper_figures/target_load_makespan_penalty.png,106597,fc922f4a230d67f56f06b9e6640ea12594230095612826d4c7d595241e02318c
analysis/tables/pilot_algorithm_rankings.csv,10780,2644d28abceb3ce0b5b790ac6ac686625ffb0db28d24a471c3cce5c4c02939d1
analysis/tables/pilot_analysis_validation.csv,4827,0a112ccf24e2d1a4894c8df578cde2e29498f24127c0ac2c8746153429ab657a
analysis/tables/pilot_condition_summary.csv,268750,171f94d4149c90ecf38e1eab7c80afb48f42094f5f592ead393cec91bce948e3
analysis/tables/pilot_horizon_selection_stability.csv,72773,a2dbac7086bf0096dd55292b041916cbc60581445a8348122dd49467d2d8c192
analysis/tables/pilot_horizon_selections.csv,80118,a95989db7b94c47044fc909a308bda4530bd69fa0e649a50a7adc253aac1e91f
analysis/tables/pilot_mechanism_metrics.csv,126102,eb09de7c29ad1951ea7a17086225834c5fe3857e4782c181de15ddcf1f708f22
analysis/tables/pilot_objective_transfer_penalties.csv,85041,06bbfe979338b23bb73391848d60c7fef79f78942baf401d2525c00369e618c3
analysis/tables/pilot_statistical_tests.csv,87496,fca0a009206546c6598bc9901208b9d79d72a13866e2869d18a0350da9ddb4b6
known_visit_sim/__init__.py,63,d160651f1df58d6830098573cdf03ab1be3f6d69b1a33f4a4075c9ce2a51855a
known_visit_sim/algorithms/ACBBA.py,43954,0dcd0d0f39366433c3f0da9ddda805bd5fae2493431f78f36a3356c54dca72b6
known_visit_sim/algorithms/Auction_greedy.py,8416,d256b3a8950b3eca0c4663e97ba93b940e78ca0a46594c9949f68ba205e1777b
known_visit_sim/algorithms/CBAA.py,24137,9a681ab9b1785d704045c94ee607dd98c6561205c2f2b217d34aa387e96cad2b
known_visit_sim/algorithms/DGA.py,50416,5d8fb934e2d2a7e83fe5be1743af23b62e457d13c1e7edac0db9e6db61a553d1
known_visit_sim/algorithms/DMCHBA.py,26009,68958ac6dffbe865433ecb933f061c9e8d4d3194d9909a125236aba838b1f1c3
known_visit_sim/algorithms/HIPC.py,42714,61ac100acc27e5981c723b7040172035b049923420b57c114ab436a6df31e739
